,review,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_other_strong_alt,abs_other_weak_alt,abs_true_strong_weak_alt,instruction,label,formatted_output
44,"I just had my first visit to this salon. Ehmed is good, efficient, and friendly. I don't like some stylists are too talkative. Ehmed talked just enough to make you feel comfortable without draining you out. He was more focus on his work, so I felt he finished a lot faster than other salons did. The result is very good. Don't expect he will turn you into a superstar though, but it is close to the top 10% of my satisfaction. If I want to find a better hair stylist, I would have to go out of town or spend at least double amount of money to get it.The price is very reasonable. I would definitly go back to chic Salon.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I just had my first visit to this salon. Ehmed is good, efficient, and friendly. I don't like some stylists are too talkative. Ehmed talked just enough to make you feel comfortable without draining you out. He was more focus on his work, so I felt he finished a lot faster than other salons did. The result is very good. Don't expect he will turn you into a superstar though, but it is close to the top 10% of my satisfaction. If I want to find a better hair stylist, I would have to go out of town or spend at least double amount of money to get it.The price is very reasonable. I would definitly go back to chic Salon."
45,"The salon is a recent addition to the Duross and Langel shop and they were smart enough to bring in my favorite stylist of all time, Rene. In May I decided to change my look with white-blonde hair instead of the usual highlights. Rene did an awesome job with the cut (as usual) and color. I got it touched up recently and it came out even better. The owners are lovely and host industry/customer appreciation nights where there is free yoga and they cook us dinner. The space is beautiful, the prices are very reasonable for center city and the products are great. Highly recommended.","Duross and Langel shop, industry/customer appreciation nights, free yoga, dinner",,,,"Duross and Langel shop, industry/customer appreciation nights, free yoga, dinner","The salon is an addition to the Duross and Langel shop.
They host industry/customer appreciation nights where there is free yoga and they cook customers dinner.",,,,"The salon is an addition to the Duross and Langel shop.
They host industry/customer appreciation nights where there is free yoga and they cook customers dinner.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","Duross and Langel shop, industry/customer appreciation nights, free yoga, dinner","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: The salon is a recent addition to the Duross and Langel shop and they were smart enough to bring in my favorite stylist of all time, Rene. In May I decided to change my look with white-blonde hair instead of the usual highlights. Rene did an awesome job with the cut (as usual) and color. I got it touched up recently and it came out even better. The owners are lovely and host industry/customer appreciation nights where there is free yoga and they cook us dinner. The space is beautiful, the prices are very reasonable for center city and the products are great. Highly recommended."
46,Love this Supercuts! LaShawn is the best. Very professional and friendly. I've been going here for more than a year and bring my son as well. It's rare to find a place where both you and your kid can both get the style and cut that you are both happy with. I recommend this location to everyone,,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Love this Supercuts! LaShawn is the best. Very professional and friendly. I've been going here for more than a year and bring my son as well. It's rare to find a place where both you and your kid can both get the style and cut that you are both happy with. I recommend this location to everyone"
47,"almost everyone in my family comes to Ambiance. Simone does an excellent job balancing that tricky ground between what the client wants and making it work in real life. Brittany also rocked it one day when Simone wasn't there. She gave my daughter the exact haircut she wanted, as well as providing us with the way to donate her hair to the cancer survivors.",cancer survivors,,,,cancer survivors,The salon provides customers with a way to donate their hair to cancer survivors.,,,,The salon provides customers with a way to donate their hair to cancer survivors.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",cancer survivors,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: almost everyone in my family comes to Ambiance. Simone does an excellent job balancing that tricky ground between what the client wants and making it work in real life. Brittany also rocked it one day when Simone wasn't there. She gave my daughter the exact haircut she wanted, as well as providing us with the way to donate her hair to the cancer survivors."
48,"I went in not too long ago to see a stylist named kayla who that i heard did good hair. 
not sure if she was having a bad day but to me she seemed like a sweet girl at first but that turned into her speaking poorly about her other clients. as she is speaking about her clients she is taking away time from actually paying attention to my hair color. she proceeds to then speak about ""caitlyn jenner"" and if anyone knew about this public figure its a sensitive subject, I really felt uncomfortable. I'm sitting here thinking is my color going to come out ok? and is this girl going to be speaking about me to other people when i leave her chair? at the end of it all, the color ended up irritating my scalp and she seemed to have missed a few grey areas.
I dont think I will be returning to fantastic sams and wouldnt recommend anyone going to this salon. cheap price cheap service.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I went in not too long ago to see a stylist named kayla who that i heard did good hair. 
not sure if she was having a bad day but to me she seemed like a sweet girl at first but that turned into her speaking poorly about her other clients. as she is speaking about her clients she is taking away time from actually paying attention to my hair color. she proceeds to then speak about ""caitlyn jenner"" and if anyone knew about this public figure its a sensitive subject, I really felt uncomfortable. I'm sitting here thinking is my color going to come out ok? and is this girl going to be speaking about me to other people when i leave her chair? at the end of it all, the color ended up irritating my scalp and she seemed to have missed a few grey areas.
I dont think I will be returning to fantastic sams and wouldnt recommend anyone going to this salon. cheap price cheap service."
49,"Best haircut and dye job ever.

I had Amber who was a blast to talk to and did an incredible job on my hair. She was very precise and attentive and did it exactly how I had pictured it. Even taught me how to curl it after and set up a whole little photoshoot for nice photos of it after. The owner and other workers there were also really nice and even helped Amber with my hair when they weren't busy to speed up the process. I will definitely be back for all cuts!",whole little photoshoot,,,,whole little photoshoot,A staff member set up a whole little photoshoot for nice photos of a customer's haircut.,,,,A staff member set up a whole little photoshoot for nice photos of a customer's haircut.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",whole little photoshoot,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Best haircut and dye job ever.

I had Amber who was a blast to talk to and did an incredible job on my hair. She was very precise and attentive and did it exactly how I had pictured it. Even taught me how to curl it after and set up a whole little photoshoot for nice photos of it after. The owner and other workers there were also really nice and even helped Amber with my hair when they weren't busy to speed up the process. I will definitely be back for all cuts!"
50,"My son went to great clips in Springfield, PA, as he usually does, but this time he was very dissatisfied due to the butchering he received from the stylist. We told him that if he was going to be butchered like that he was better off going to Roy Tweedy's ( which is a real butcher shop). I'm not sure if it was because he was a teenager, or for the fact that he use the coupon that was mailed to us, but either way they did a horrible job, and it costs more to fix his hair the way it should have been done in the first place. My husband called the salon upon my sons return, to see if we could resolve the situation, but of course we never received a response. No call back from any manager, or any apologies whatsoever. I would highly advise that no one go to great clips in Springfield until they get their act together! As for us, we are a large family and we go there a lot, but will never step foot in that place again!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: My son went to great clips in Springfield, PA, as he usually does, but this time he was very dissatisfied due to the butchering he received from the stylist. We told him that if he was going to be butchered like that he was better off going to Roy Tweedy's ( which is a real butcher shop). I'm not sure if it was because he was a teenager, or for the fact that he use the coupon that was mailed to us, but either way they did a horrible job, and it costs more to fix his hair the way it should have been done in the first place. My husband called the salon upon my sons return, to see if we could resolve the situation, but of course we never received a response. No call back from any manager, or any apologies whatsoever. I would highly advise that no one go to great clips in Springfield until they get their act together! As for us, we are a large family and we go there a lot, but will never step foot in that place again!"
51,"A really nice place to get your hair did with as much of an edge as you want. 

In the East Loop, across from the Pageant, might be one of the most underrated salons in the city. I first went into this place as a walk-in, and keep on going back. Yes, I'm a guy, and since my hair is pretty coarse, grows weird, and I want a bit of style to it, I go to hair salons. At V Vegaz I've never been dissatisfied with my cut. 

When you walk in you realize how spacious the place is, with a bit of a slightly modern, slightly baroque interior design. There's a nice vibe there too amongst the employees, and you can see that the stylists are happy with the work situation. Of course, happy stylists, to me, mean better haircuts.

I go to Callie, since that first walk-in, and keep on going back. Yes, she's real friendly, which is a nice touch, but she's also a great stylist. I'm a bit wishy washy when I look for a cut, usually changing what I want most of the time. Callie's sensitive to that, and really understands how my hair grows and where it's going to move. I think the biggest compliment to her is that, as I'm a once a month haircut kinda guy, my brother and sister told me they really my hair a full month after I had it cut with Callie. So that's really a testament to her skills.

I've not gotten color there, but it is a full service salon, and not just a turn and burn place. 

I highly recommend this place.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: A really nice place to get your hair did with as much of an edge as you want. 

In the East Loop, across from the Pageant, might be one of the most underrated salons in the city. I first went into this place as a walk-in, and keep on going back. Yes, I'm a guy, and since my hair is pretty coarse, grows weird, and I want a bit of style to it, I go to hair salons. At V Vegaz I've never been dissatisfied with my cut. 

When you walk in you realize how spacious the place is, with a bit of a slightly modern, slightly baroque interior design. There's a nice vibe there too amongst the employees, and you can see that the stylists are happy with the work situation. Of course, happy stylists, to me, mean better haircuts.

I go to Callie, since that first walk-in, and keep on going back. Yes, she's real friendly, which is a nice touch, but she's also a great stylist. I'm a bit wishy washy when I look for a cut, usually changing what I want most of the time. Callie's sensitive to that, and really understands how my hair grows and where it's going to move. I think the biggest compliment to her is that, as I'm a once a month haircut kinda guy, my brother and sister told me they really my hair a full month after I had it cut with Callie. So that's really a testament to her skills.

I've not gotten color there, but it is a full service salon, and not just a turn and burn place. 

I highly recommend this place."
52,Last minute appointment for blowout and curl. They were very accommodating and extremely friendly. Was my first time here and I accidentally showed up at the wrong location (Central) and the girl called the downtown location for me and explained I would be a little late. Ari shampooed me and styled my hair. She is sweet and friendly as well as knows what she's doing. All smiles from everyone when I left. I would recommend this place to anyone. The ambiance is awesome as it's established in an old art gallery. It's the building with the Tucson mural on it.,,"old art gallery, Tucson mural",,,"old art gallery, Tucson mural",,The salon is established in an old art gallery. It's the building with the Tucson mural on it.,,,The salon is established in an old art gallery. It's the building with the Tucson mural on it.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Last minute appointment for blowout and curl. They were very accommodating and extremely friendly. Was my first time here and I accidentally showed up at the wrong location (Central) and the girl called the downtown location for me and explained I would be a little late. Ari shampooed me and styled my hair. She is sweet and friendly as well as knows what she's doing. All smiles from everyone when I left. I would recommend this place to anyone. The ambiance is awesome as it's established in an old art gallery. It's the building with the Tucson mural on it."
53,"For a $16 haircut, I was expecting an OK-looking trim (all I really needed was some damage control - just someone to lop off my split ends and maybe add a few layers). What I got was a very professionally looking haircut that works well with my face shape and made my hair a lot healthier and happier. My expectations were far exceeded - and it definitely surpassed my last 'professional' hair salon experience. Plus, the shampoo smelled amazing and the girl was really thorough. I wish I had brought more cash to tip her!!! The only thing you should keep in mind before going is time. I had to wait an extra half an hour and it was the longest haircut I've ever had. I would much rather have the student take the time to make sure it looks good, however, than have someone do a half-ass job. I think it's important that the school has a series of steps and checklists their students have to go through to ensure they are giving you the best experience possible. Just make sure you have a decent block of time in your schedule to relax in the chair!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: For a $16 haircut, I was expecting an OK-looking trim (all I really needed was some damage control - just someone to lop off my split ends and maybe add a few layers). What I got was a very professionally looking haircut that works well with my face shape and made my hair a lot healthier and happier. My expectations were far exceeded - and it definitely surpassed my last 'professional' hair salon experience. Plus, the shampoo smelled amazing and the girl was really thorough. I wish I had brought more cash to tip her!!! The only thing you should keep in mind before going is time. I had to wait an extra half an hour and it was the longest haircut I've ever had. I would much rather have the student take the time to make sure it looks good, however, than have someone do a half-ass job. I think it's important that the school has a series of steps and checklists their students have to go through to ensure they are giving you the best experience possible. Just make sure you have a decent block of time in your schedule to relax in the chair!"
54,"I cannot say enough wonderful things about Belle Starr. I've been seeing the owner, Cass, for my color for the past two years and she is so talented. She has taken me from platinum blonde, to creamsicle copper, to champagne blonde, to my current balayage golden blonde. With all that color you'd think my hair would be brittle and damaged but it's not because Cass is super knowledgeable, uses the best products, and offers effective deep conditioning treatments. 

In addition, her salon doubles as a community art space. There is always great local art for sale on the walls, the occasional yoga class where proceeds go to local community organizations, and beauty nights where you get to learn about and test products for free. I even won a jar of organic, vegan body scrub in a raffle at the last beauty night (super exciting for someone who never wins anything!). 

If you're looking for an authentic, hip, socially conscious, 100% local salon, Belle Starr is your place.","community art space, great local art, occasional yoga class, local community organizations, beauty nights, jar of organic, vegan body scrub",,,,"community art space, great local art, occasional yoga class, local community organizations, beauty nights, jar of organic, vegan body scrub","The salon is a community art space.
There is always great local art for sale on the walls, the occasional yoga class where proceeds go to local community organizations, and beauty nights where you get to learn about and test products for free. A customer won a jar of organic, vegan body scrub at a beauty night.",,,,"The salon is a community art space.
There is always great local art for sale on the walls, the occasional yoga class where proceeds go to local community organizations, and beauty nights where you get to learn about and test products for free. A customer won a jar of organic, vegan body scrub at a beauty night.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","community art space, great local art, occasional yoga class, local community organizations, beauty nights, jar of organic, vegan body scrub","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I cannot say enough wonderful things about Belle Starr. I've been seeing the owner, Cass, for my color for the past two years and she is so talented. She has taken me from platinum blonde, to creamsicle copper, to champagne blonde, to my current balayage golden blonde. With all that color you'd think my hair would be brittle and damaged but it's not because Cass is super knowledgeable, uses the best products, and offers effective deep conditioning treatments. 

In addition, her salon doubles as a community art space. There is always great local art for sale on the walls, the occasional yoga class where proceeds go to local community organizations, and beauty nights where you get to learn about and test products for free. I even won a jar of organic, vegan body scrub in a raffle at the last beauty night (super exciting for someone who never wins anything!). 

If you're looking for an authentic, hip, socially conscious, 100% local salon, Belle Starr is your place."
55,"Lé Chandelier Salon & Boutique (formerly known as Blush Salon Roxborough--which I also reviewed) is a top notch salon with affordable prices. I've been a customer since day one and recommend the salon to everyone. The atmosphere is a Breakfast at Tiffany's feel! Touches of sparkle, diamonds, and pearls. As you approach the salon you will first notice the Chandeliers in the window. As you walk in you are greeted by the friendly staff and a welcoming waiting area. The staff is personable, down to earth, and makes you feel comfortable right away. They listen to what you want and offer suggestions when needed. I never feel rushed and always leave happy. If you have questions on anything my stylist (Angel) has always answered and explained the process. It's always a great feeling when strangers ask, ""Where do you get your hair done?!?"" Or ""I want your curls!"" The salon is clean and when I'm there, there is always someone sweeping and keeping the salon tidy. The staff also holds tutorials on hair as well as makeup! They offers waxing, spray tanning, makeup, and bridal services! Mostly everyone I know has used Angel and her team for their wedding day! If you're looking for a quality salon at affordable prices that actually cares what their clients look like when they leave the salon... This is your go to place! They truly strive to exceed your expectations and make the customer happy.","tutorials, waxing, spray tanning, makeup, bridal services","Breakfast at Tiffany's feel, Touches of sparkle, diamonds, pearl, Chandeliers",,,"Breakfast at Tiffany's feel, Touches of sparkle, diamonds, pearl, Chandeliers, tutorials, waxing, spray tanning, makeup, bridal services","The staff also holds tutorials on hair as well as makeup.
The salon offers waxing, spray tanning, makeup, and bridal services.","The salon has an atmosphere like a Breakfast at Tiffany's feel with Touches of sparkle, diamonds, and pearls. They have Chandeliers in the window.",,,"The salon has an atmosphere like a Breakfast at Tiffany's feel with Touches of sparkle, diamonds, and pearls. They have Chandeliers in the window.
The staff also holds tutorials on hair as well as makeup.
The salon offers waxing, spray tanning, makeup, and bridal services.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","tutorials, waxing, spray tanning, makeup, bridal services","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Lé Chandelier Salon & Boutique (formerly known as Blush Salon Roxborough--which I also reviewed) is a top notch salon with affordable prices. I've been a customer since day one and recommend the salon to everyone. The atmosphere is a Breakfast at Tiffany's feel! Touches of sparkle, diamonds, and pearls. As you approach the salon you will first notice the Chandeliers in the window. As you walk in you are greeted by the friendly staff and a welcoming waiting area. The staff is personable, down to earth, and makes you feel comfortable right away. They listen to what you want and offer suggestions when needed. I never feel rushed and always leave happy. If you have questions on anything my stylist (Angel) has always answered and explained the process. It's always a great feeling when strangers ask, ""Where do you get your hair done?!?"" Or ""I want your curls!"" The salon is clean and when I'm there, there is always someone sweeping and keeping the salon tidy. The staff also holds tutorials on hair as well as makeup! They offers waxing, spray tanning, makeup, and bridal services! Mostly everyone I know has used Angel and her team for their wedding day! If you're looking for a quality salon at affordable prices that actually cares what their clients look like when they leave the salon... This is your go to place! They truly strive to exceed your expectations and make the customer happy."
56,"I moved to the Wilmington area in 2006 for grad school, and it took many months (and several bad haircuts) to find a great salon that will give a stylish men's haircut. I found Fabrizio's and have never gone anywhere else since! I have seen Linda there for almost 7 years because she is THAT good. She is so sweet and caring, and she really knows her stuff. I have gone in not knowing what I want, but knowing I want something different. Linda asks me a few questions, then I walk out with a quality and stylish haircut. And if for some reason I am not happy (which has never happened), Linda always tells me I can come back free of charge and she will fix whatever I'm not happy with.

The front desk staff is also great - the type of place where they know you and greet you by name when you come in the door. Rita is so friendly and helpful! I love this place and Linda so much that even when I moved to PA, I still make the trip to Fabrizio's for my monthly haircut. I promise you, you won't find a better salon in the area.

Two tips: I don't believe they let you charge tips to credit cards, so make sure you bring cash with you. There is an ATM in the salon, but it will charge you a fee. And regarding parking, there is a very small lot (4 spaces or so) behind the salon, so most likely you will need to park on the street. I rarely have trouble finding a close spot though.",ATM,,,,ATM,There is an ATM in the salon.,,,,There is an ATM in the salon.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",ATM,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I moved to the Wilmington area in 2006 for grad school, and it took many months (and several bad haircuts) to find a great salon that will give a stylish men's haircut. I found Fabrizio's and have never gone anywhere else since! I have seen Linda there for almost 7 years because she is THAT good. She is so sweet and caring, and she really knows her stuff. I have gone in not knowing what I want, but knowing I want something different. Linda asks me a few questions, then I walk out with a quality and stylish haircut. And if for some reason I am not happy (which has never happened), Linda always tells me I can come back free of charge and she will fix whatever I'm not happy with.

The front desk staff is also great - the type of place where they know you and greet you by name when you come in the door. Rita is so friendly and helpful! I love this place and Linda so much that even when I moved to PA, I still make the trip to Fabrizio's for my monthly haircut. I promise you, you won't find a better salon in the area.

Two tips: I don't believe they let you charge tips to credit cards, so make sure you bring cash with you. There is an ATM in the salon, but it will charge you a fee. And regarding parking, there is a very small lot (4 spaces or so) behind the salon, so most likely you will need to park on the street. I rarely have trouble finding a close spot though."
57,"Thanks Carleen for the wonderful appointment! My mini vacay to Reno is not complete without a visit to Carleen. I don't cut my hair often and usually wait til I have Rapunzel length hair when I see her. Booking an appointment with her is easy but beware..she is normally booked out months in advance and I consider myself lucky if I can score a last minute opening with her (she updates her Facebook often with these openings).

Her studio is super easy to get to (very close to GSR). She always asks in advance your hair inspiration and will talk you through it before she works her magic. She makes you feel at home..drinks, snacks, free wifi, coloring books (for adults), beauty bar and much more.

Another thing I awesomely appreciate is that..I am not a very social talker and she and her staff make it super comfortable for me here.","free wifi, coloring books",,,,"free wifi, coloring books","The salon has free wifi.
They have coloring books for adults.",,,,"The salon has free wifi.
They have coloring books for adults.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","free wifi, coloring books","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Thanks Carleen for the wonderful appointment! My mini vacay to Reno is not complete without a visit to Carleen. I don't cut my hair often and usually wait til I have Rapunzel length hair when I see her. Booking an appointment with her is easy but beware..she is normally booked out months in advance and I consider myself lucky if I can score a last minute opening with her (she updates her Facebook often with these openings).

Her studio is super easy to get to (very close to GSR). She always asks in advance your hair inspiration and will talk you through it before she works her magic. She makes you feel at home..drinks, snacks, free wifi, coloring books (for adults), beauty bar and much more.

Another thing I awesomely appreciate is that..I am not a very social talker and she and her staff make it super comfortable for me here."
58,"My hairstylist is in Jersey and I live Philly but my hair disaster couldn't wait for the drive since I have work. I remember seeing a sign for Dominican hair salon near the ShopRite in West Philly and off I went!

All I needed was a wash and set and luckily Mon-Wed they have a wash n' set special of $30! Right up my college budget alley! I came straight from work so it was almost 6 which is when they close but they sat me right down and took care of me! 

Only downfall is they don't take debit/credit but I didn't mind since I was desperate. My hair came out silky smooth just like my stylist back home does. I will definitely be coming back! And it's so close to university city!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: My hairstylist is in Jersey and I live Philly but my hair disaster couldn't wait for the drive since I have work. I remember seeing a sign for Dominican hair salon near the ShopRite in West Philly and off I went!

All I needed was a wash and set and luckily Mon-Wed they have a wash n' set special of $30! Right up my college budget alley! I came straight from work so it was almost 6 which is when they close but they sat me right down and took care of me! 

Only downfall is they don't take debit/credit but I didn't mind since I was desperate. My hair came out silky smooth just like my stylist back home does. I will definitely be coming back! And it's so close to university city!"
59,"Absolutely love this shop, studio, and salon! The flow of creative energy in here is palpable and inspiring. When they say Hair, Fashion, Art, they mean it. I've been looking for a salon I'd like to come back to for a few years and I finally found it! I'm so sad it took me so long. This is the perfect place for a whole new 'do or just a bang trim. I have felt very comfortable sitting in the chair and letting Kristine, Salina, or Gloriana update my look.
As for the art on the walls, I love how they are always changing. This is one of the best little art galleries and I've discovered so many cool local artists by also looking at the walls while I was shopping. I met Beth, the gallery director, and she really knows her stuff. 
And as for the fashion part of the store, it is also art! Leigh Anne is such a talented designer. She has beautiful dresses with sleek lines that fit an array of bodies. Her original designs are what cocktail party dreams are made of.
AND my favorite part about The Disco Dolls Studio is that it's sustainable! These women have made a commitment to helping our planet and each other and it shows in their ethics and in the way they conduct business. And it's soooo nice to shop at a place where I know the products are ethically sourced and I can feel good about buying them. 
Lastly, this place is taking great precautions during these strange COVID times and I am very thankful to see business owners actually care about my safety as well as their own.","shop, studio, best little art galleries, local artists, fashion part, beautiful dresses",,,,"shop, studio, best little art galleries, local artists, fashion part, beautiful dresses","The salon is a shop as well as a studio.
They have a little art gallery with art on the walls done by local artists.
The designer of the fashion part of the store has dresses with sleek lines.",,,,"The salon is a shop as well as a studio.
They have a little art gallery with art on the walls done by local artists.
The designer of the fashion part of the store has dresses with sleek lines.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","shop, studio, best little art galleries, local artists, fashion part, beautiful dresses","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Absolutely love this shop, studio, and salon! The flow of creative energy in here is palpable and inspiring. When they say Hair, Fashion, Art, they mean it. I've been looking for a salon I'd like to come back to for a few years and I finally found it! I'm so sad it took me so long. This is the perfect place for a whole new 'do or just a bang trim. I have felt very comfortable sitting in the chair and letting Kristine, Salina, or Gloriana update my look.
As for the art on the walls, I love how they are always changing. This is one of the best little art galleries and I've discovered so many cool local artists by also looking at the walls while I was shopping. I met Beth, the gallery director, and she really knows her stuff. 
And as for the fashion part of the store, it is also art! Leigh Anne is such a talented designer. She has beautiful dresses with sleek lines that fit an array of bodies. Her original designs are what cocktail party dreams are made of.
AND my favorite part about The Disco Dolls Studio is that it's sustainable! These women have made a commitment to helping our planet and each other and it shows in their ethics and in the way they conduct business. And it's soooo nice to shop at a place where I know the products are ethically sourced and I can feel good about buying them. 
Lastly, this place is taking great precautions during these strange COVID times and I am very thankful to see business owners actually care about my safety as well as their own."
60,"It is always a joy to find those businesses that are local, funky, friendly, and excel at what they offer. I've been getting my hair done there since the previous location, but I must say the converted firehouse locale is such a great fit for this unique salon.

Thanks to the amazing work of Jason Reid, frequent compliments on my hair have become a normal part of my life whenever I'm out and about. Jason and the rest of the stylists there have an amazing knack when it comes to giving their clients a look that is both really 'pulled together' and yet interesting and edgy. They rock at what they do, from wild cuts and vibrant colors that will make you feel like a punk god or goddess, to hair that looks good enough for the cover of a classy fashion magazine.

Also, you've gotta love a business that uses their anniversary party every year as a fundraiser for local causes! And that's in addition to all the other fundraising they do throughout the year to help various local organizations and individuals in need. I have so much appreciation for this salon and the talented, passionate, and generous people that make it what it is.","local causes, local organizations, individuals",,,,"local causes, local organizations, individuals",The salon uses its anniversary party every year as a fundraiser for local causes in addition to all the other fundraising they do throughout the year to help various local organizations and individuals in need.,,,,The salon uses its anniversary party every year as a fundraiser for local causes in addition to all the other fundraising they do throughout the year to help various local organizations and individuals in need.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","local causes, local organizations, individuals","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: It is always a joy to find those businesses that are local, funky, friendly, and excel at what they offer. I've been getting my hair done there since the previous location, but I must say the converted firehouse locale is such a great fit for this unique salon.

Thanks to the amazing work of Jason Reid, frequent compliments on my hair have become a normal part of my life whenever I'm out and about. Jason and the rest of the stylists there have an amazing knack when it comes to giving their clients a look that is both really 'pulled together' and yet interesting and edgy. They rock at what they do, from wild cuts and vibrant colors that will make you feel like a punk god or goddess, to hair that looks good enough for the cover of a classy fashion magazine.

Also, you've gotta love a business that uses their anniversary party every year as a fundraiser for local causes! And that's in addition to all the other fundraising they do throughout the year to help various local organizations and individuals in need. I have so much appreciation for this salon and the talented, passionate, and generous people that make it what it is."
61,"This hair salon definitely does not look like one from the outside, which is why it took me a long time to go there.  Before getting my hair cut there, I had a feeling I would like them based on their ads (the owner draws anthropomorphic coyotes in them) and the fact that owner also helps a dog saving organization.  The interior is very Fourth Avenue and artsy, with its bright walls and artwork on the walls made by their friends.  I immediately felt comfortable, unlike the sterile feeling I sometimes get in other salons.  I was happy with my cut, from Fil, who was very attentive and nice.",,"very Fourth Avenue, artsy, its bright walls, artwork",dog saving organization,,"very Fourth Avenue, artsy, its bright walls, artwork",,"The interior is very Fourth Avenue and artsy, with its bright walls and artwork on the walls made by their friends.",The salon's owner helps a dog saving organization.,,"The interior is very Fourth Avenue and artsy, with its bright walls and artwork on the walls made by their friends.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: This hair salon definitely does not look like one from the outside, which is why it took me a long time to go there.  Before getting my hair cut there, I had a feeling I would like them based on their ads (the owner draws anthropomorphic coyotes in them) and the fact that owner also helps a dog saving organization.  The interior is very Fourth Avenue and artsy, with its bright walls and artwork on the walls made by their friends.  I immediately felt comfortable, unlike the sterile feeling I sometimes get in other salons.  I was happy with my cut, from Fil, who was very attentive and nice."
62,"I found this place through yelp after I heard that my last stylist left. It was tricky to find the storefront because I didn't know it was inside the gym. Walking and getting a little workout walking up the ramp towards the gym, I entered a cute little salon tucked in the back of the gym. I was greeted by a wonderful friendly staff. My stylist was Matt. I was skeptical on getting a haircut by a guy because I never had a guy done my hair, but he was wonderful! He knew exactly what I wanted and paid even special attention to my hair. He even gave me tips because I have really fine Asian hair. All I can say is great staff, and great cut. A little pricier than the other places i been to, but for quality cuts it's worth it.",,,,gym,,,,,The salon is inside a gym.,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I found this place through yelp after I heard that my last stylist left. It was tricky to find the storefront because I didn't know it was inside the gym. Walking and getting a little workout walking up the ramp towards the gym, I entered a cute little salon tucked in the back of the gym. I was greeted by a wonderful friendly staff. My stylist was Matt. I was skeptical on getting a haircut by a guy because I never had a guy done my hair, but he was wonderful! He knew exactly what I wanted and paid even special attention to my hair. He even gave me tips because I have really fine Asian hair. All I can say is great staff, and great cut. A little pricier than the other places i been to, but for quality cuts it's worth it."
