,review,true_nc,true_oc,true_nc_oc,abs_true_nc,abs_true_nc_1,instruction,label,formatted_output
51,"If I lived in Suburbia for a long haul Then Kelly's is the bar that I would spend the most time in so I could take full on advantage of it's Mug Club Membership. Because I seriously can't think of a better deal that any other bar has to offer.The Yearly Membership goes for $100 and get's you two pretty awesome deal's. first you get your own personalized mug with the name of your choice. But the truly epic reason to get a membership is the fact that from that point forward domestic beers cost you $1, and Imports cost you $2 every single time that you attend. $250 gets you a lifetime membership with the same deal, and your name engraved on a plaque that goes on their wall. Seriously if it wasn't in Bryn Mawr I'd be all over that shit!But beyond that epic deal, Kelly's is your typical neighborhood gastropub that's college friendly.It has a nice wooden decor, friendly staff, and good beer selection that can make for a good time if you roll in with the right people. But overall Kelly's is just decent.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: If I lived in Suburbia for a long haul Then Kelly's is the bar that I would spend the most time in so I could take full on advantage of it's Mug Club Membership. Because I seriously can't think of a better deal that any other bar has to offer.The Yearly Membership goes for $100 and get's you two pretty awesome deal's. first you get your own personalized mug with the name of your choice. But the truly epic reason to get a membership is the fact that from that point forward domestic beers cost you $1, and Imports cost you $2 every single time that you attend. $250 gets you a lifetime membership with the same deal, and your name engraved on a plaque that goes on their wall. Seriously if it wasn't in Bryn Mawr I'd be all over that shit!But beyond that epic deal, Kelly's is your typical neighborhood gastropub that's college friendly.It has a nice wooden decor, friendly staff, and good beer selection that can make for a good time if you roll in with the right people. But overall Kelly's is just decent."
52,"What Your Body's Been Craving For...""I waltzed into this coffee/espresso bar looking for a way to zap up my tired head while at the same time delaying my arrival to work. I've seen Crave and thought.. yeah... another one of those coffee shacks who won't last longer than a week. Then a week passed by. Then months, and I think its almost been a year. I figured 'a year, what the heck, try them'.I hear this ""hello, welcome, how are you doing today"" coming from out of nowhere. When I got closer to the counter I was jostled into conversation with a spunky 14-year old looking adult with beautiful thick hair and well groomed brows. He basically looked like a Caucasian version of Prince, even with the attitude. So after asking me a few questions he was quickly preparing my Caramel Macchiato of which I somehow ordered. What took me by surprise is how cocky my server was, especially when he stated that his stuff was better than Starbucks. Now, everyone knows Starbucks is dammnnn good. I never ever trust a person who toots their own horn. So I gave a demand despite of his self assuredness... ""don't make my Macchiatto sweet"". Despite my request, he continued to talk this game, made some design in my drink, and then passed it onto me. So I'm thinking ""Whateva, just because you made a cutesy little design in my drink doesn't make up for how bad its gonna taste"" I wanted to take my drink and run because I didn't want to have to ruin his day as soon as he asks for a critique of it. I basically only needed the caffeine....Sip... ?!?!? Sip, sip.... wha da! I had to turn away from the door and walk up to this Prince ingenue and tell him this was the bomb. I've never felt this way about a cup of joe before. Okay, what I couldn't put into words while taking my first sip is that: 1) Their coffee doesn't taste like burnt trash. It is strong, but not with that bitter taste. It tastes robust without you being paranoid thinking that the cleanup crew secretly scrapes off the bottoms of ashtrays and brews the scrapings for tomorrow's java. 2) The price isn't bad 3) Its just good stuff without giving you a migraine. Apparently Crave is a hip place to be. One day out of the week they have some sort of open mic where local artists can perform. I haven't witnessed this at myself, but hey, I'm sure its cool. Crave, just like Starbucks, has an assortment of pastries and other fine things one associates with when drinking coffee. If you haven't tried Crave, this is your chance... you won't be sorry.",open mic,,open mic,One day out of the week they have an open mic where local artists can perform.,One day out of the week the restaurant has an open mic where local artists can perform.,list what is atypical in the restaurant. Separate them using commas.,open mic,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: What Your Body's Been Craving For...""I waltzed into this coffee/espresso bar looking for a way to zap up my tired head while at the same time delaying my arrival to work. I've seen Crave and thought.. yeah... another one of those coffee shacks who won't last longer than a week. Then a week passed by. Then months, and I think its almost been a year. I figured 'a year, what the heck, try them'.I hear this ""hello, welcome, how are you doing today"" coming from out of nowhere. When I got closer to the counter I was jostled into conversation with a spunky 14-year old looking adult with beautiful thick hair and well groomed brows. He basically looked like a Caucasian version of Prince, even with the attitude. So after asking me a few questions he was quickly preparing my Caramel Macchiato of which I somehow ordered. What took me by surprise is how cocky my server was, especially when he stated that his stuff was better than Starbucks. Now, everyone knows Starbucks is dammnnn good. I never ever trust a person who toots their own horn. So I gave a demand despite of his self assuredness... ""don't make my Macchiatto sweet"". Despite my request, he continued to talk this game, made some design in my drink, and then passed it onto me. So I'm thinking ""Whateva, just because you made a cutesy little design in my drink doesn't make up for how bad its gonna taste"" I wanted to take my drink and run because I didn't want to have to ruin his day as soon as he asks for a critique of it. I basically only needed the caffeine....Sip... ?!?!? Sip, sip.... wha da! I had to turn away from the door and walk up to this Prince ingenue and tell him this was the bomb. I've never felt this way about a cup of joe before. Okay, what I couldn't put into words while taking my first sip is that: 1) Their coffee doesn't taste like burnt trash. It is strong, but not with that bitter taste. It tastes robust without you being paranoid thinking that the cleanup crew secretly scrapes off the bottoms of ashtrays and brews the scrapings for tomorrow's java. 2) The price isn't bad 3) Its just good stuff without giving you a migraine. Apparently Crave is a hip place to be. One day out of the week they have some sort of open mic where local artists can perform. I haven't witnessed this at myself, but hey, I'm sure its cool. Crave, just like Starbucks, has an assortment of pastries and other fine things one associates with when drinking coffee. If you haven't tried Crave, this is your chance... you won't be sorry."
53,"After being in the restaurant business my entire life , this is a hidden gem... It is a not just a steak house, its extraordinary with ever angle of perfection .. I have never sat at a dinner table when the entrees came and literally no one spoke while eating, for a crazy long amount of time, until one of my guests said, ""This might be the best steak i have EVER had."" There were 6 of us. Each having a different appetizer, and a different entree, (we are ALL foodies), and very helpful suggestions from our completely professional server Peter. I had the special mussel appetizer, they were plump and plentiful, and a tantalizing pork chop cooked to perfection. My husband (the birthday boy) had a butcher block consisting 16 oz ribeye, (he substituted for the filet), 6 oz broiled lobster tail, jumbo shrimp and colossal crabmeat and broiled scallops. We had a bottle of Cane and Fable for the table, at Peter's suggestion, a perfect choice. Everything, including the bread was delicious. This place isn't just for special occasions, we were made aware of the various specials throughout the week that. They offer... A DEFINITE MUST... And then we ended our evening next door at their sister restaurant for after dinner cocktails and a lively fun band as well !!!!",,"their sister restaurant, lively fun band","their sister restaurant, lively fun band",,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: After being in the restaurant business my entire life , this is a hidden gem... It is a not just a steak house, its extraordinary with ever angle of perfection .. I have never sat at a dinner table when the entrees came and literally no one spoke while eating, for a crazy long amount of time, until one of my guests said, ""This might be the best steak i have EVER had."" There were 6 of us. Each having a different appetizer, and a different entree, (we are ALL foodies), and very helpful suggestions from our completely professional server Peter. I had the special mussel appetizer, they were plump and plentiful, and a tantalizing pork chop cooked to perfection. My husband (the birthday boy) had a butcher block consisting 16 oz ribeye, (he substituted for the filet), 6 oz broiled lobster tail, jumbo shrimp and colossal crabmeat and broiled scallops. We had a bottle of Cane and Fable for the table, at Peter's suggestion, a perfect choice. Everything, including the bread was delicious. This place isn't just for special occasions, we were made aware of the various specials throughout the week that. They offer... A DEFINITE MUST... And then we ended our evening next door at their sister restaurant for after dinner cocktails and a lively fun band as well !!!!"
54,"The ambiance is great, they have a children's menu, they serve half rolls upon request, and the staff are friendly.  The sushi is really lacking though...There were huge inconsistencies between our first and second visits, so it's hard to pinpoint the exact reason, but I think a big part of it might be the rice.  It has a chewy texture that I really wasn't a fan of. Add baking to that rice, as some of the rolls did, and it's a gummy, chewy mess. The nigiri during our first visit had a nice rice to fish ratio, our second visit...the nigiri was huge, not the bite sized pieces it should be.  I did like the egg roll appetizer, although I think that it was more like a rolled crab Rangoon than an egg roll.  The dragon balls were tasty on our first visit (breaded and fried jalapeño coins topped with crab and a tasty sauce), but on our second visit...the jalapeños were not really cooked, the breading fell off...and the ribs and seeds hadn't been removed so the jalapeños were just raw and too spicy/hot for me to eat. Ok, now on to the children's menu.  I think it is great that they offer one, but the chicken jerky that they tried pass off as chicken strips was just atrocious.  It was so thinly sliced that when breaded and fried it became almost inedible.  My grandson gnawed on one piece for a few minutes before giving up on it altogether.  (We fed him dinner after we left) I'm bummed...I tried to like this place. I even visited it a second time since our first visit was during their first week open.  I thought perhaps they just hadn't worked out all the kinks at that point, and perhaps that IS the problem.  I think I'll hold off on spending any more money here though.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: The ambiance is great, they have a children's menu, they serve half rolls upon request, and the staff are friendly.  The sushi is really lacking though...There were huge inconsistencies between our first and second visits, so it's hard to pinpoint the exact reason, but I think a big part of it might be the rice.  It has a chewy texture that I really wasn't a fan of. Add baking to that rice, as some of the rolls did, and it's a gummy, chewy mess. The nigiri during our first visit had a nice rice to fish ratio, our second visit...the nigiri was huge, not the bite sized pieces it should be.  I did like the egg roll appetizer, although I think that it was more like a rolled crab Rangoon than an egg roll.  The dragon balls were tasty on our first visit (breaded and fried jalapeño coins topped with crab and a tasty sauce), but on our second visit...the jalapeños were not really cooked, the breading fell off...and the ribs and seeds hadn't been removed so the jalapeños were just raw and too spicy/hot for me to eat. Ok, now on to the children's menu.  I think it is great that they offer one, but the chicken jerky that they tried pass off as chicken strips was just atrocious.  It was so thinly sliced that when breaded and fried it became almost inedible.  My grandson gnawed on one piece for a few minutes before giving up on it altogether.  (We fed him dinner after we left) I'm bummed...I tried to like this place. I even visited it a second time since our first visit was during their first week open.  I thought perhaps they just hadn't worked out all the kinks at that point, and perhaps that IS the problem.  I think I'll hold off on spending any more money here though."
55,"The food is decent especially since there is no fresh seafood because of the desert we live in. I have ate in twice and both times i experienced two issues: the horrible service ( stop dancing every 10 minutes and serve your guests, trust me you will make more in tips than doing the dumb macarena or cotton eye joe). I mean these dance buffs are so concerned with getting the next dance ready they forget their guests. Issue number 2 is the portions always change. I got the same crab pot and the second time was much less. I complained to the manager ( thank god he doesn't dance) and he gave me an extra crab leg but they are charging more and giving less. Its a shame because seafood is lacking out here and we have to deal with these dancing bafoons and above average food.. Recommend to get the food to go and but check your order just in case a lady gaga song comes on and they do a poker face instead of paying attention. Better off with red lobster i guess..",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: The food is decent especially since there is no fresh seafood because of the desert we live in. I have ate in twice and both times i experienced two issues: the horrible service ( stop dancing every 10 minutes and serve your guests, trust me you will make more in tips than doing the dumb macarena or cotton eye joe). I mean these dance buffs are so concerned with getting the next dance ready they forget their guests. Issue number 2 is the portions always change. I got the same crab pot and the second time was much less. I complained to the manager ( thank god he doesn't dance) and he gave me an extra crab leg but they are charging more and giving less. Its a shame because seafood is lacking out here and we have to deal with these dancing bafoons and above average food.. Recommend to get the food to go and but check your order just in case a lady gaga song comes on and they do a poker face instead of paying attention. Better off with red lobster i guess.."
56,"Casinos are just lame.Ate at the ""International Buffet"", which was pretty standard. ALthough...they did have real horseradish for the prime rib....nice bonus.The only time I come here is to see a concert at the AVA amphitheater. Otherwise...I would skip it.","Casinos, concert, AVA amphitheater",,"Casinos, concert, AVA amphitheater","They are a casino.
Customers can see a concert at the AVA amphitheater.","The restaurant is a casino.
Customers can see a concert at the AVA amphitheater.",list what is atypical in the restaurant. Separate them using commas.,"Casinos, concert, AVA amphitheater","question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Casinos are just lame.Ate at the ""International Buffet"", which was pretty standard. ALthough...they did have real horseradish for the prime rib....nice bonus.The only time I come here is to see a concert at the AVA amphitheater. Otherwise...I would skip it."
57,"I have been to Pinewood Social three times now: twice for dinner and drinks, and once for a lunchtime business meeting. Each time, I leave Pinewood in a better mood than when I entered. Why? Because spaces like Pinewood make you happy to be alive, to be so incredibly lucky to be surrounded by beauty and dining on the finest food and libations available, to live in a town that continues to grow and nurture entrepreneurs like the Goldberg brothers, who own this and other equally enjoyable establishments in town. The first visit was the first week it opened, and three friends and I decided to order a variety of dishes to share and sample. Our favorites were the cauliflower salad, the ""things on toast"" (we had one of each), and for entrees, the fried chicken, cheeseburger, and Reuben sandwich. Honestly, everything was great, and we also enjoyed two rounds each of cocktails, as well as after dinner coffee cocktails. The Curtado with Fernet was amazing and I am craving one just thinking of it. My second visit was for lunch, and I ordered the kale caeser with shrimp. It was delicious and a nice portion for lunch. My coworker had the cheeseburger. We enjoyed coffee and remained seated for over two hours, discussing work. The flow from lunch-meeting to meeting-over-coffee was seamless and both of us commented how nice the space was for working. We never felt rushed and were attentively served. The third time was again for dinner and drinks. We order oysters (delicious) and burgers (I was craving the burger since watching my coworker devour his). My friend got cauliflower as her side, and commented to her server that it was overly salted. Our server promptly took it and returned with a new, less seasoned serving. As a veteran of the restaurant industry, this is the type of service that makes me know Pinewood deserves five stars- things go wrong. Nothing is always perfect. Patrons should let their server know if something isn't right. How the server responds shows what level of service is expected at the business. Our server responded exactly how I hoped- she made things right. We couldn't have been happier with our night. I plan to go back for breakfast this week. I have not bowled yet, but the bowling alley looks awesome and is decked out with vintage equipment. In all, Pinewood Social is a step above any other venture in Nashville. Everything is done with the highest taste level without feeling stuffy or pretentious. I would take my grandmother there, a date there, or again, a coworker for a meeting. Plus, everyone is so damn nice there, indicating they share my personal motto: be nice or leave!",bowling alley,,bowling alley,They have a bowling alley.,The restaurant has a bowling alley.,list what is atypical in the restaurant. Separate them using commas.,bowling alley,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: I have been to Pinewood Social three times now: twice for dinner and drinks, and once for a lunchtime business meeting. Each time, I leave Pinewood in a better mood than when I entered. Why? Because spaces like Pinewood make you happy to be alive, to be so incredibly lucky to be surrounded by beauty and dining on the finest food and libations available, to live in a town that continues to grow and nurture entrepreneurs like the Goldberg brothers, who own this and other equally enjoyable establishments in town. The first visit was the first week it opened, and three friends and I decided to order a variety of dishes to share and sample. Our favorites were the cauliflower salad, the ""things on toast"" (we had one of each), and for entrees, the fried chicken, cheeseburger, and Reuben sandwich. Honestly, everything was great, and we also enjoyed two rounds each of cocktails, as well as after dinner coffee cocktails. The Curtado with Fernet was amazing and I am craving one just thinking of it. My second visit was for lunch, and I ordered the kale caeser with shrimp. It was delicious and a nice portion for lunch. My coworker had the cheeseburger. We enjoyed coffee and remained seated for over two hours, discussing work. The flow from lunch-meeting to meeting-over-coffee was seamless and both of us commented how nice the space was for working. We never felt rushed and were attentively served. The third time was again for dinner and drinks. We order oysters (delicious) and burgers (I was craving the burger since watching my coworker devour his). My friend got cauliflower as her side, and commented to her server that it was overly salted. Our server promptly took it and returned with a new, less seasoned serving. As a veteran of the restaurant industry, this is the type of service that makes me know Pinewood deserves five stars- things go wrong. Nothing is always perfect. Patrons should let their server know if something isn't right. How the server responds shows what level of service is expected at the business. Our server responded exactly how I hoped- she made things right. We couldn't have been happier with our night. I plan to go back for breakfast this week. I have not bowled yet, but the bowling alley looks awesome and is decked out with vintage equipment. In all, Pinewood Social is a step above any other venture in Nashville. Everything is done with the highest taste level without feeling stuffy or pretentious. I would take my grandmother there, a date there, or again, a coworker for a meeting. Plus, everyone is so damn nice there, indicating they share my personal motto: be nice or leave!"
58,"Our recent date night at The Farm and Fisherman was pretty flawless. From the food to the service to the restaurant itself, it was a great evening. Judy was our server and she was awesome. She knew the menu inside and out and had a real appreciation for food. Obviously, I like that in a server! We started out with delicious parker rolls - it was all I could do to not wolf the entire thing but I was trying to save my cals for the rest of the meal. Josh Lawler does some really incredible things with seasonal ingredients. This was showcased especially in the first course: grilled eggplant with burrata, and a slow roasted squash. Both plates were filled with vibrant colors from the ingredients and accompanying sauces. The flavors were wonderful, and every bite was different. Next I had scallops, which were served with pastrami and sweet corn. On point. Now that it's a couple weeks later, I don't remember what my dining partner had for his second course, but I do know he enjoyed whatever it was (helpful, I know). My main course was a grilled tri tip steak, which was very lean and very tender. It was served with lima beans, which I really liked as an alternate to the usual potato. My boyfriend enjoyed his bacon-wrapped quail. Who wouldn't love a teeny bird wrapped in bacon? For dessert we shared a lemon tart which was perfection. I'm literally shaking my head at the memory. Get the tart. This was our second visit to this restaurant. The first was nearly a year ago, after they first opened. I have to admit, I enjoyed this second visit so much more, and I think it had a lot to do with the seasonal fruits and veggies of late summer. Regardless, I am really looking forward to my next meal at The Farm & Fisherman. This is the kind of place that just gets better and better.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Our recent date night at The Farm and Fisherman was pretty flawless. From the food to the service to the restaurant itself, it was a great evening. Judy was our server and she was awesome. She knew the menu inside and out and had a real appreciation for food. Obviously, I like that in a server! We started out with delicious parker rolls - it was all I could do to not wolf the entire thing but I was trying to save my cals for the rest of the meal. Josh Lawler does some really incredible things with seasonal ingredients. This was showcased especially in the first course: grilled eggplant with burrata, and a slow roasted squash. Both plates were filled with vibrant colors from the ingredients and accompanying sauces. The flavors were wonderful, and every bite was different. Next I had scallops, which were served with pastrami and sweet corn. On point. Now that it's a couple weeks later, I don't remember what my dining partner had for his second course, but I do know he enjoyed whatever it was (helpful, I know). My main course was a grilled tri tip steak, which was very lean and very tender. It was served with lima beans, which I really liked as an alternate to the usual potato. My boyfriend enjoyed his bacon-wrapped quail. Who wouldn't love a teeny bird wrapped in bacon? For dessert we shared a lemon tart which was perfection. I'm literally shaking my head at the memory. Get the tart. This was our second visit to this restaurant. The first was nearly a year ago, after they first opened. I have to admit, I enjoyed this second visit so much more, and I think it had a lot to do with the seasonal fruits and veggies of late summer. Regardless, I am really looking forward to my next meal at The Farm & Fisherman. This is the kind of place that just gets better and better."
59,"Tool central. Whether they're making up new rules in order to charge you more or glaring at your ""I-don't-feel-the-need-to-try-that-hard"" handbag, the staff here is neither friendly nor helpful in any way. In fact, they seem to want to make it harder for you to spend money there. Though I have given up in recent months, each of the last three times I attempted to patronize Byblos my group was faced with some new ridiculous and awkward stipulation. First, all of a sudden, parties of 5 or more had to purchase at least two hookahs, then tables were reserved for parties ordering food, and then it was a minimum charge per head at the table. And all of it seemed so shadily implemented and relayed that I'm 90% sure those rules were (and probably are) instated on a case-by-case basis as people walk in the door. And to top it all off, the place is cold and hollow, lacking the kitschy charm of many other hookah bars, as well as too-often bombarded with the bumbling of an over-zealous wannabe-in-Ibiza DJ. Overall, a no.",over-zealous wannabe-in-Ibiza DJ,,over-zealous wannabe-in-Ibiza DJ,They have a wannabe-in-Ibiza DJ.,The restaurant has a wannabe-in-Ibiza DJ.,list what is atypical in the restaurant. Separate them using commas.,over-zealous wannabe-in-Ibiza DJ,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Tool central. Whether they're making up new rules in order to charge you more or glaring at your ""I-don't-feel-the-need-to-try-that-hard"" handbag, the staff here is neither friendly nor helpful in any way. In fact, they seem to want to make it harder for you to spend money there. Though I have given up in recent months, each of the last three times I attempted to patronize Byblos my group was faced with some new ridiculous and awkward stipulation. First, all of a sudden, parties of 5 or more had to purchase at least two hookahs, then tables were reserved for parties ordering food, and then it was a minimum charge per head at the table. And all of it seemed so shadily implemented and relayed that I'm 90% sure those rules were (and probably are) instated on a case-by-case basis as people walk in the door. And to top it all off, the place is cold and hollow, lacking the kitschy charm of many other hookah bars, as well as too-often bombarded with the bumbling of an over-zealous wannabe-in-Ibiza DJ. Overall, a no."
60,Last night got take out. The sweet and sour chicken was pretty bad. Cooked unevenly. Several pieces the batter was hard and chicken was tough. Other pieces had batter a little undercooked. I believe the fryer oil was not hot enough plus too many items were put in basket at once. Been bad off and on last few months. I give up. It's too expensive to be guessing if it will be edible or not. So frustrating and sad because you were always my fav.,,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Last night got take out. The sweet and sour chicken was pretty bad. Cooked unevenly. Several pieces the batter was hard and chicken was tough. Other pieces had batter a little undercooked. I believe the fryer oil was not hot enough plus too many items were put in basket at once. Been bad off and on last few months. I give up. It's too expensive to be guessing if it will be edible or not. So frustrating and sad because you were always my fav."
61,"We stopped in here the day we moved into the Shaw neighborhood. That was three weeks ago, and we've gone back at least 6 times since then. This place has everything going for it: 1. A wonderful painter who has his studio in the back, and art on the walls 2. A wonderful menu of delicious, freshly prepared vegetarian food, and CUPCAKES 3. Cute little children that hang out and I swear their laughter sounds like little angels raining down from the heavens 4. Free wireless so that you can grub out and work on some emails at the same time 5. Organic and fair-trade coffee. Go here and get a cupcake! You'll be back for more quickly","wonderful painter, free wireless",,"wonderful painter, free wireless","They have a painter who has his studio in the back, and art on the walls.
They have free wireless.","The restaurant has a painter who has his studio in the back, and art on the walls.
They have free wireless.",list what is atypical in the restaurant. Separate them using commas.,"wonderful painter, free wireless","question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: We stopped in here the day we moved into the Shaw neighborhood. That was three weeks ago, and we've gone back at least 6 times since then. This place has everything going for it: 1. A wonderful painter who has his studio in the back, and art on the walls 2. A wonderful menu of delicious, freshly prepared vegetarian food, and CUPCAKES 3. Cute little children that hang out and I swear their laughter sounds like little angels raining down from the heavens 4. Free wireless so that you can grub out and work on some emails at the same time 5. Organic and fair-trade coffee. Go here and get a cupcake! You'll be back for more quickly"
62,"This location is mostly ran by inexperienced, rude, awful employees. I have pictures of how nasty my sandwich looked, you could clearly see that a finger was pressed through the bun. Nothing that i asked for on the sandwich was on the sandwich. It was dry and cold. The cashier gave me an attitude once i presented my receipt with a code on the back for free fries and a drink. Once i went back to work downstairs (in the mall) i noticed that nothing was in my sandwich. I went back upstairs to get everything that THEY forgot to put on my sandwich. Once i got back up there they had the audacity to CHARGE ME for ranch pickles and lettuce. THE THINGS THEY FORGOT TO PUT ON MY SANDWICH. All my employees saw the way the sandwich looked and we will no longer be buying food from Charley's.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: This location is mostly ran by inexperienced, rude, awful employees. I have pictures of how nasty my sandwich looked, you could clearly see that a finger was pressed through the bun. Nothing that i asked for on the sandwich was on the sandwich. It was dry and cold. The cashier gave me an attitude once i presented my receipt with a code on the back for free fries and a drink. Once i went back to work downstairs (in the mall) i noticed that nothing was in my sandwich. I went back upstairs to get everything that THEY forgot to put on my sandwich. Once i got back up there they had the audacity to CHARGE ME for ranch pickles and lettuce. THE THINGS THEY FORGOT TO PUT ON MY SANDWICH. All my employees saw the way the sandwich looked and we will no longer be buying food from Charley's."
63,"Hip atmosphere. My date ordered a Caramel Vanilla Praline milkshake, and raved about how wonderful it was. I tasted it, and it was pretty good, even though I don't really like caramel or praline. I ordered a chocolate milkshake. I guess they can't make a chocolate milkshake from the vanilla ice cream; they made me a Chocolate Habanero milkshake. That flavor is probably the worst flavor I've ever tasted. Altogether, that milkshake was absolutely the most disgusting milkshake I've ever had. I took a few sips to make sure that I hadn't misunderstood it for some reason. The milkshake texture was perfect, but the aftertaste of habanero was intolerable - partially because I wasn't expecting habanero, and partially because I didn't like it. I felt nauseous for an hour after taking 3 sips. I thought about returning and asking for my money back, but I made the bad choice. I'll just never make that mistake again. I should have driven a few blocks North to Bo's.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Hip atmosphere. My date ordered a Caramel Vanilla Praline milkshake, and raved about how wonderful it was. I tasted it, and it was pretty good, even though I don't really like caramel or praline. I ordered a chocolate milkshake. I guess they can't make a chocolate milkshake from the vanilla ice cream; they made me a Chocolate Habanero milkshake. That flavor is probably the worst flavor I've ever tasted. Altogether, that milkshake was absolutely the most disgusting milkshake I've ever had. I took a few sips to make sure that I hadn't misunderstood it for some reason. The milkshake texture was perfect, but the aftertaste of habanero was intolerable - partially because I wasn't expecting habanero, and partially because I didn't like it. I felt nauseous for an hour after taking 3 sips. I thought about returning and asking for my money back, but I made the bad choice. I'll just never make that mistake again. I should have driven a few blocks North to Bo's."
64,"Where do I begin? Ever since Halal Kart (or just ""Kart"") has joined our lives at Pennsylvania Hospital, I can say we all have been a bit happier. And more full. You see, $5 flat gets you a LARGE quantity of delicious food AND a drink! Can you beat that? My regular is combo (chicken and lamb) over rice with a little of both white cream and spicy sauce. Sometimes even with a little chickpea/veggie mix on top. Why compromise? For the Veg heads you can do falafel which I hear is good. The guys are super nice, and now even you can order by texting Murad's cell phone as you are walking over! One time in front of me in line was a cardiologist and a gastroenterologist. If that isn't an endorsement I don't know what is. KARTLIFE.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Where do I begin? Ever since Halal Kart (or just ""Kart"") has joined our lives at Pennsylvania Hospital, I can say we all have been a bit happier. And more full. You see, $5 flat gets you a LARGE quantity of delicious food AND a drink! Can you beat that? My regular is combo (chicken and lamb) over rice with a little of both white cream and spicy sauce. Sometimes even with a little chickpea/veggie mix on top. Why compromise? For the Veg heads you can do falafel which I hear is good. The guys are super nice, and now even you can order by texting Murad's cell phone as you are walking over! One time in front of me in line was a cardiologist and a gastroenterologist. If that isn't an endorsement I don't know what is. KARTLIFE."
65,Came here with 2 of my friends of mine since they wanted to try this place out and we didn't regret it. To begin with customer service was great waitress was very attentive and great all around.  It did take us a little long to be seated since it was busy and there was also a long line. Moreover I had the pancakes and toasted bread and everting was good and tasty. But my food was a little warm not hot which is a bummer for me. But other than that everything was great. Furthermore I well come and try them again and hopefully the food is a little better than my first time.,,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Came here with 2 of my friends of mine since they wanted to try this place out and we didn't regret it. To begin with customer service was great waitress was very attentive and great all around.  It did take us a little long to be seated since it was busy and there was also a long line. Moreover I had the pancakes and toasted bread and everting was good and tasty. But my food was a little warm not hot which is a bummer for me. But other than that everything was great. Furthermore I well come and try them again and hopefully the food is a little better than my first time."
66,For a quick bite this place is ideal but very cramped. Small menu but good food esp shrimp or fish po boy! Service is very slow. We were not greeted for quiet some time. Finally they cleaned a table so we could settle down. Not a very fancy or clean place. Wish there were more options close to the dock area since we just needed some quick lunch before we board the paddle cruise.,"dock area, paddle cruise",,"dock area, paddle cruise",They are close to a dock area where customers can board paddle cruises.,They are close to a dock area where customers can board paddle cruises.,list what is atypical in the restaurant. Separate them using commas.,"dock area, paddle cruise","question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: For a quick bite this place is ideal but very cramped. Small menu but good food esp shrimp or fish po boy! Service is very slow. We were not greeted for quiet some time. Finally they cleaned a table so we could settle down. Not a very fancy or clean place. Wish there were more options close to the dock area since we just needed some quick lunch before we board the paddle cruise."
