,review,comments,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,true_all,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_strong_alt,abs_true_other_weak_alt,abs_true_strong_weak_alt,abs_true_all_alt,instruction,label,formatted_output
69,"Four stars for a wonderful experience at this local landmark. There's just something so cool about staying somewhere with such a rich history. First of all, a first run movie theater? How cool is that? Hair salon, florist, several restaurants and bars, on-site events staff and more - can I just move in? I guess I could for a few million (the residences). I didn't get to hang at the pool, but it looks amazing!

My room (if you can call it that) was roughly the same size as my first house. A full kitchen, large living room, massive bedroom and big bathroom - literally like 1,000 square feet - it was epic! The bed was great, the bathroom lovely, I truly could not have asked for a better room. It was not spotless, however, especially when I had to look around for plugs for laptops and phone chargers and the like, but it's seriously such a big room I don't know how they could keep it perfect. I could have used a heavier blanket, and though I guess I could have called for one, there should have been something in the closet. 

All the staff I encountered was lovely, and I would absolutely stay here again in a minute! Especially if I had time for a movie and some poolside action!",,"first run movie theater, Hair salon, florist",,,,"first run movie theater, Hair salon, florist","first run movie theater, Hair salon, florist","The hotel has a first run movie theater, Hair salon, and florist.",,,,"The hotel has a first run movie theater, Hair salon, and florist.","The hotel has a first run movie theater, Hair salon, and florist.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","first run movie theater, Hair salon, florist","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Four stars for a wonderful experience at this local landmark. There's just something so cool about staying somewhere with such a rich history. First of all, a first run movie theater? How cool is that? Hair salon, florist, several restaurants and bars, on-site events staff and more - can I just move in? I guess I could for a few million (the residences). I didn't get to hang at the pool, but it looks amazing!

My room (if you can call it that) was roughly the same size as my first house. A full kitchen, large living room, massive bedroom and big bathroom - literally like 1,000 square feet - it was epic! The bed was great, the bathroom lovely, I truly could not have asked for a better room. It was not spotless, however, especially when I had to look around for plugs for laptops and phone chargers and the like, but it's seriously such a big room I don't know how they could keep it perfect. I could have used a heavier blanket, and though I guess I could have called for one, there should have been something in the closet. 

All the staff I encountered was lovely, and I would absolutely stay here again in a minute! Especially if I had time for a movie and some poolside action!"
70,"Worst hotel I've ever stayed at. Breakfast was terrible, and they had NO sugar in the entire hotel for coffee. We got stuck multiple times in the pool room because of the door not properly working. My sons feet were black from walking barefoot in our room. The water in the bath tub was constantly draining while my son was trying to take a bath. And we only came across one staff member who was polite to us. We checked out and went to a different hotel that was much better.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Worst hotel I've ever stayed at. Breakfast was terrible, and they had NO sugar in the entire hotel for coffee. We got stuck multiple times in the pool room because of the door not properly working. My sons feet were black from walking barefoot in our room. The water in the bath tub was constantly draining while my son was trying to take a bath. And we only came across one staff member who was polite to us. We checked out and went to a different hotel that was much better."
71,"A very nice hotel and a good value. ($175/night) The king bed was primo, the room tastefully furnished. The rotating Carousel bar is fun and the pool at the top of the building is a great way to cool off on a 95 degree day.We stay there given the great location in the French Quarter, but our room facing Royal St. was very loud, especially on Friday night. Try for a room not facing the street if you are there over a weekend. Make sure they remove the extra $60 per night they tack on to your room charge for incidentals.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: A very nice hotel and a good value. ($175/night) The king bed was primo, the room tastefully furnished. The rotating Carousel bar is fun and the pool at the top of the building is a great way to cool off on a 95 degree day.We stay there given the great location in the French Quarter, but our room facing Royal St. was very loud, especially on Friday night. Try for a room not facing the street if you are there over a weekend. Make sure they remove the extra $60 per night they tack on to your room charge for incidentals."
72,"Comfortable bed, good breakfast, fast internet, great location, and low price. Overall I was really impressed with this place. However, if you stay on the top floors you may be waiting up to 15 minutes for an elevator in the morning.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Comfortable bed, good breakfast, fast internet, great location, and low price. Overall I was really impressed with this place. However, if you stay on the top floors you may be waiting up to 15 minutes for an elevator in the morning."
73,"Yes major renovation indeed! Wow. Just wow. Arrived here as a tourist but stepped into this hotel as a pimp. This is like the mini equivalent of LV Cosmopolitan & City Centre: chic, sexy, clean, service oriented and overflowing with activities and amenities. Everything is new. Even the towels! Not your normal crunchy sandpaper ones! There's a starbucks, gift shop that sells doggie treats for the canine guests. Yes this luxury hotel is pet friendly. There's so much to do you dont want to leave: daily showings at the cinema (saw the hobbit for $4!!!!), live comedy shows and concerts, lounge w dj and dance floor, spa services, mechanical bull, fine dining restaurants, DAILY FITNESS CLASSES! what the mother effing f**! They have outside activities too like go karting, bungee gliding, driving range with floating targets on a lake! (See photo)

We got a spacious king size room with a gorgeous view of the golf putting lake (see photos). The shower is amazing and the bed is ridiculously comfortable; I could stay in my room all day!

tips:
- Sign up free for players club and get a free spin for dining/shopping credit between $5-$500. Its actually just a kiosk but that didnt stop me from chanting, ""big money big money!"" You also get a 2 for 1 buffet voucher good sun-thurs
- for basic necessities walmart is across the street.
- NEVER BOOK ON THE PHONE! I generally find that hotel quotes on the phone are cheapest but oddly, for this hotel they are double or triple what they offer on their website or on kayak
- FREE airport shuttle",,"activities, starbucks, gift shop, doggie treats, pet friendly, daily showings, cinema, hobbit, live comedy shows, concerts, lounge w dj, dance floo, mechanical bull, DAILY FITNESS CLASSES, outside activities, go karting, bungee gliding, driving range, golf putting lake",,,,"activities, starbucks, gift shop, doggie treats, pet friendly, daily showings, cinema, hobbit, live comedy shows, concerts, lounge w dj, dance floo, mechanical bull, DAILY FITNESS CLASSES, outside activities, go karting, bungee gliding, driving range, golf putting lake","activities, starbucks, gift shop, doggie treats, pet friendly, daily showings, cinema, hobbit, live comedy shows, concerts, lounge w dj, dance floo, mechanical bull, DAILY FITNESS CLASSES, outside activities, go karting, bungee gliding, driving range, golf putting lake","The hotel has activities. There's a starbucks, gift shop that sells doggie treats. They are pet friendly. There are daily showings at the cinema. A customer saw the hobbit movie. There are live comedy shows and concerts, lounge w dj and dance floor, mechanical bull, DAILY FITNESS CLASSES. They have outside activities too like go karting, bungee gliding, driving range with floating targets on a lake.
A customer's room had a view of the golf putting lake.",,,,"The hotel has activities. There's a starbucks, gift shop that sells doggie treats. They are pet friendly. There are daily showings at the cinema. A customer saw the hobbit movie. There are live comedy shows and concerts, lounge w dj and dance floor, mechanical bull, DAILY FITNESS CLASSES. They have outside activities too like go karting, bungee gliding, driving range with floating targets on a lake.
A customer's room had a view of the golf putting lake.","The hotel has activities. There's a starbucks, gift shop that sells doggie treats. They are pet friendly. There are daily showings at the cinema. A customer saw the hobbit movie. There are live comedy shows and concerts, lounge w dj and dance floor, mechanical bull, DAILY FITNESS CLASSES. They have outside activities too like go karting, bungee gliding, driving range with floating targets on a lake.
A customer's room had a view of the golf putting lake.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","activities, starbucks, gift shop, doggie treats, pet friendly, daily showings, cinema, hobbit, live comedy shows, concerts, lounge w dj, dance floo, mechanical bull, DAILY FITNESS CLASSES, outside activities, go karting, bungee gliding, driving range, golf putting lake","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Yes major renovation indeed! Wow. Just wow. Arrived here as a tourist but stepped into this hotel as a pimp. This is like the mini equivalent of LV Cosmopolitan & City Centre: chic, sexy, clean, service oriented and overflowing with activities and amenities. Everything is new. Even the towels! Not your normal crunchy sandpaper ones! There's a starbucks, gift shop that sells doggie treats for the canine guests. Yes this luxury hotel is pet friendly. There's so much to do you dont want to leave: daily showings at the cinema (saw the hobbit for $4!!!!), live comedy shows and concerts, lounge w dj and dance floor, spa services, mechanical bull, fine dining restaurants, DAILY FITNESS CLASSES! what the mother effing f**! They have outside activities too like go karting, bungee gliding, driving range with floating targets on a lake! (See photo)

We got a spacious king size room with a gorgeous view of the golf putting lake (see photos). The shower is amazing and the bed is ridiculously comfortable; I could stay in my room all day!

tips:
- Sign up free for players club and get a free spin for dining/shopping credit between $5-$500. Its actually just a kiosk but that didnt stop me from chanting, ""big money big money!"" You also get a 2 for 1 buffet voucher good sun-thurs
- for basic necessities walmart is across the street.
- NEVER BOOK ON THE PHONE! I generally find that hotel quotes on the phone are cheapest but oddly, for this hotel they are double or triple what they offer on their website or on kayak
- FREE airport shuttle"
74,"We are so very excited to return to UCSB Family Vacation Center for the third year in a row. This vacation has proven to be the most relaxing week we have experienced since becoming parents 8 years ago. Why do we love it so? Let me count the ways:

1) The counselors - they know how to pick um! The counselors are fun, energetic, caring, and really like our kids! Our kids REALLY like them too, which means we don't feel guilty when the counselors take them for a fun field trip for the day or engage them in all the other fun programming they have for kids. Our kids told us last year that it would ""break their hearts"" if we didn't return to family camp this year! Not that is an endorsement!
2) The location - you really can't beat being on the ocean in Santa Barbara. This place just reeks of happiness/fun/sunshine.
3) The adult activities - they have a wide variety of fun things for adults, surfing, kayaking, hiking, biking, nights out on the town, fun evening activities like karaoke, trivia night, etc.  We loved meeting other couples at the camp and felt like we made a whole bunch of new friends each year.
4) The food - yes, it is campus style, but the food is really good. The cafeteria offers a variety of food that satisfies even the pickiest of little eaters.
5) Balance - The program does an amazing job of balancing adult, kid and family time. They have really figured out the schedule so that you don't feel torn between doing adult activities and caring for your kids.  There is enough family time as well so that you definitely feel like you spent a lot of time with your kids during the week, but also a great amount of adult time as well.
6) Babysitting - If you need more adult time in the later evenings or even during the daytime, there are counselors happy to watch your kids. And the kids are so happy when the counselors show up at your door, because they know them already!
7) Non-commercial - Unlike other vacations, you never feel nickel and dimed. There are very few things that you have to pay ""extra"" for. We love that! For instance, one of the counselors is the professional photographer all week. He goes around for the whole week, taking photos of everyone and everything and then downloads all the photos onto a CD that you can buy for $10.  We have some of the best photos of our family on those CDs!
8. You will feel like you are back in college, even if it is only for a week! :)


We can't recommend this camp ENOUGH! If you need a great, relaxing week away when you don't need to think about cooking or entertaining the kids, UCSB Family Vacation Camp is it!",,"adult activities, surfing, kayaking, hiking, biking, nights out on the town, karaoke, trivia night, Babysitting, professional photographer, CD",,ocean,,"adult activities, surfing, kayaking, hiking, biking, nights out on the town, karaoke, trivia night, Babysitting, professional photographer, CD","ocean, adult activities, surfing, kayaking, hiking, biking, nights out on the town, karaoke, trivia night, Babysitting, professional photographer, CD","The hotel has a wide variety of fun things for adults, surfing, kayaking, hiking, biking, nights out on the town, fun evening activities like karaoke, trivia night, etc.
There are counselors happy to watch your kids.
One of the counselors is a professional photographer all week. Customers can buy a CD of photos.",,The hotel is on the ocean of Santa Barbara.,,"The hotel has a wide variety of fun things for adults, surfing, kayaking, hiking, biking, nights out on the town, fun evening activities like karaoke, trivia night, etc.
There are counselors happy to watch your kids.
One of the counselors is a professional photographer all week. Customers can buy a CD of photos.","The hotel is on the ocean of Santa Barbara. They have a wide variety of fun things for adults, surfing, kayaking, hiking, biking, nights out on the town, fun evening activities like karaoke, trivia night, etc.
There are counselors happy to watch your kids.
One of the counselors is a professional photographer all week. Customers can buy a CD of photos.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","adult activities, surfing, kayaking, hiking, biking, nights out on the town, karaoke, trivia night, Babysitting, professional photographer, CD","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: We are so very excited to return to UCSB Family Vacation Center for the third year in a row. This vacation has proven to be the most relaxing week we have experienced since becoming parents 8 years ago. Why do we love it so? Let me count the ways:

1) The counselors - they know how to pick um! The counselors are fun, energetic, caring, and really like our kids! Our kids REALLY like them too, which means we don't feel guilty when the counselors take them for a fun field trip for the day or engage them in all the other fun programming they have for kids. Our kids told us last year that it would ""break their hearts"" if we didn't return to family camp this year! Not that is an endorsement!
2) The location - you really can't beat being on the ocean in Santa Barbara. This place just reeks of happiness/fun/sunshine.
3) The adult activities - they have a wide variety of fun things for adults, surfing, kayaking, hiking, biking, nights out on the town, fun evening activities like karaoke, trivia night, etc.  We loved meeting other couples at the camp and felt like we made a whole bunch of new friends each year.
4) The food - yes, it is campus style, but the food is really good. The cafeteria offers a variety of food that satisfies even the pickiest of little eaters.
5) Balance - The program does an amazing job of balancing adult, kid and family time. They have really figured out the schedule so that you don't feel torn between doing adult activities and caring for your kids.  There is enough family time as well so that you definitely feel like you spent a lot of time with your kids during the week, but also a great amount of adult time as well.
6) Babysitting - If you need more adult time in the later evenings or even during the daytime, there are counselors happy to watch your kids. And the kids are so happy when the counselors show up at your door, because they know them already!
7) Non-commercial - Unlike other vacations, you never feel nickel and dimed. There are very few things that you have to pay ""extra"" for. We love that! For instance, one of the counselors is the professional photographer all week. He goes around for the whole week, taking photos of everyone and everything and then downloads all the photos onto a CD that you can buy for $10.  We have some of the best photos of our family on those CDs!
8. You will feel like you are back in college, even if it is only for a week! :)


We can't recommend this camp ENOUGH! If you need a great, relaxing week away when you don't need to think about cooking or entertaining the kids, UCSB Family Vacation Camp is it!"
75,Had a great stay at this hotel right in the french quarter. convenient walking to everything on bourbon street and beyond. their continental breakfast had a large variety of items and was free per your stay. great comfy beds. A huge plus was the non-smoking hotel that doesn't allow smoking throughout. Attentive service and wonderful experience. Great ambiance and decor as i loved the courtyard fountain area at night to just relax after a day in NOLA. Bathrooms were a bit small and the shower could of used a door as water splashed out to the main area but overall it was a comfy room. Free wifi and the staff service was impeccable. We had a fuse blown and the repair was done in 15 min. after we called it in. Another plus is the free bottled water everyday as they gave us 2 bottles on the dresser along with 2 in the fridge. Highly recommended for a stay in the French quarter.,,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Had a great stay at this hotel right in the french quarter. convenient walking to everything on bourbon street and beyond. their continental breakfast had a large variety of items and was free per your stay. great comfy beds. A huge plus was the non-smoking hotel that doesn't allow smoking throughout. Attentive service and wonderful experience. Great ambiance and decor as i loved the courtyard fountain area at night to just relax after a day in NOLA. Bathrooms were a bit small and the shower could of used a door as water splashed out to the main area but overall it was a comfy room. Free wifi and the staff service was impeccable. We had a fuse blown and the repair was done in 15 min. after we called it in. Another plus is the free bottled water everyday as they gave us 2 bottles on the dresser along with 2 in the fridge. Highly recommended for a stay in the French quarter."
76,"Having lived in center city Philadelphia previously, I was familiar with the Doubletree, and had high expectations. For the most part, this hotel delivers. When we checked in on Thursday evening the night staff (especially Kim) was very friendly and helpful. The accommodations were very nice, parking convenient (yes $25/day is high and standard for Philly, but you can exit and return for an unlimited # of times in the 24 hours, which is nice) and the rooms were nice and clean. 

The cons: you have to pay for the internet, which is ridiculous! Also, during my stay I got locked in the sauna area on the pool/fitness level (not sure what was up, but I was able to use my key to get in but not out). I was very lucky that there were other guests coming in and out that night (it was 10pm, a low traffic time of day), and they let me out. 

I highly recommend this hotel, and will be staying in the future when I come to town.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Having lived in center city Philadelphia previously, I was familiar with the Doubletree, and had high expectations. For the most part, this hotel delivers. When we checked in on Thursday evening the night staff (especially Kim) was very friendly and helpful. The accommodations were very nice, parking convenient (yes $25/day is high and standard for Philly, but you can exit and return for an unlimited # of times in the 24 hours, which is nice) and the rooms were nice and clean. 

The cons: you have to pay for the internet, which is ridiculous! Also, during my stay I got locked in the sauna area on the pool/fitness level (not sure what was up, but I was able to use my key to get in but not out). I was very lucky that there were other guests coming in and out that night (it was 10pm, a low traffic time of day), and they let me out. 

I highly recommend this hotel, and will be staying in the future when I come to town."
77,"Stayed at Hotel Modern for my trip to NOLA last week and was pretty underwhelmed by the experience. Considering the cost for what we got, my rating for the hotel itself is two stars, but I'm bumping it up to three for the kind staff.

First off, when booking online, we were given a choice between a small, medium, or large room. We splurged for the large and it was pretty small. I can't even imagine how tiny the small room is if the large room that we paid more for was that size.

For a place that touts itself on its decor and calls itself the Hotel Modern, the room decor was not up to par. It was very minimalistic. Not minimalistic artsy, though; but minimalistic in a we-'re-trying-to-save-money-by-cutting-corners kind of way. A lot of the furniture and amenities were just really inefficient.

I think the bathroom was the worst part about the room -- there was no fan in there and the door was constantly closing so it couldn't even air itself out properly. I could tell it had been an ongoing problem because the paint on the ceiling was peeling off in really gross way. On our first day there, we made the mistake of showering and just leaving. At the end of the day, we came back and opened the bathroom door to a nasty musty smell with the mirror still all fogged up. Every day thereafter, we made sure to prop the door open before leaving.

It's not all bad though. As I mentioned earlier, most of the staff were very nice and we were greeted with lemon water when we walked in as well as by a cute red parrot who said """"Hello"""".  The lobby is very nicely decorated and I loved the dungeon-esque feeling of the elevator. What I appreciated about the room was the comfy bed, the iPod dock (only for pre-iPhone 5 devices), and the free wifi. There was also a cool bar and restaurant downstairs.

Location-wise, it wasn't bad either. When we first arrived, we were a little disappointed that there appeared to be nothing around us, but it turns out that we were right in the middle of a lot of cool stuff and just a 10 minute walk in ANY direction lead us to an entirely different part of that area of NOLA. It was also really easy to catch a cab or ride the bus (so much easier than SF!). The location and the free wifi were probably the best part about this hotel.",,cute red parrat,,,,cute red parrat,cute red parrat,"The hotel has a red parrot who says ""Hello"".",,,,"The hotel has a red parrot who says ""Hello"".","The hotel has a red parrot who says ""Hello"".","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",cute red parrat,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Stayed at Hotel Modern for my trip to NOLA last week and was pretty underwhelmed by the experience. Considering the cost for what we got, my rating for the hotel itself is two stars, but I'm bumping it up to three for the kind staff.

First off, when booking online, we were given a choice between a small, medium, or large room. We splurged for the large and it was pretty small. I can't even imagine how tiny the small room is if the large room that we paid more for was that size.

For a place that touts itself on its decor and calls itself the Hotel Modern, the room decor was not up to par. It was very minimalistic. Not minimalistic artsy, though; but minimalistic in a we-'re-trying-to-save-money-by-cutting-corners kind of way. A lot of the furniture and amenities were just really inefficient.

I think the bathroom was the worst part about the room -- there was no fan in there and the door was constantly closing so it couldn't even air itself out properly. I could tell it had been an ongoing problem because the paint on the ceiling was peeling off in really gross way. On our first day there, we made the mistake of showering and just leaving. At the end of the day, we came back and opened the bathroom door to a nasty musty smell with the mirror still all fogged up. Every day thereafter, we made sure to prop the door open before leaving.

It's not all bad though. As I mentioned earlier, most of the staff were very nice and we were greeted with lemon water when we walked in as well as by a cute red parrot who said """"Hello"""".  The lobby is very nicely decorated and I loved the dungeon-esque feeling of the elevator. What I appreciated about the room was the comfy bed, the iPod dock (only for pre-iPhone 5 devices), and the free wifi. There was also a cool bar and restaurant downstairs.

Location-wise, it wasn't bad either. When we first arrived, we were a little disappointed that there appeared to be nothing around us, but it turns out that we were right in the middle of a lot of cool stuff and just a 10 minute walk in ANY direction lead us to an entirely different part of that area of NOLA. It was also really easy to catch a cab or ride the bus (so much easier than SF!). The location and the free wifi were probably the best part about this hotel."
78,"Beautiful beach away from big crowds. Smaller hotel. Simple and clean rooms. Nice pool and courtyard with beautiful plants and trees. Sink, microwave, and fridge in room. Loved the feel of this hotel.",,,,Beautiful beach,,,Beautiful beach,,,The hotel is near the beach away from the big crowds.,,,The hotel is near the beach away from the big crowds.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Beautiful beach away from big crowds. Smaller hotel. Simple and clean rooms. Nice pool and courtyard with beautiful plants and trees. Sink, microwave, and fridge in room. Loved the feel of this hotel."
79,"Miraval an amazing experience  An all inclusive resort with a world class SPA. The food is excellent, fresh, Healthy & delicious. The staff is amazing, friendly and always helpful. The SPA is fabulous I have visited Miraval at least 4 times and spend a lot of time in the SPA having various services and I have never been disappointed. Hiking, biking, swimming, painting, photography, seminars & classes there is something for everyone. Enjoy",,"Hiking, biking, painting, photography, seminars, classes",,,,"Hiking, biking, painting, photography, seminars, classes","Hiking, biking, painting, photography, seminars, classes","The hotel has hiking, biking, painting, photography, seminars & classes.",,,,"The hotel has hiking, biking, painting, photography, seminars & classes.","The hotel has hiking, biking, painting, photography, seminars & classes.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","Hiking, biking, painting, photography, seminars, classes","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Miraval an amazing experience  An all inclusive resort with a world class SPA. The food is excellent, fresh, Healthy & delicious. The staff is amazing, friendly and always helpful. The SPA is fabulous I have visited Miraval at least 4 times and spend a lot of time in the SPA having various services and I have never been disappointed. Hiking, biking, swimming, painting, photography, seminars & classes there is something for everyone. Enjoy"
80,"Had a great stay here. Resort is VERY kid friendly and has great events for the kids. Ranger station onsite had tortoise, snakes, spiders, scorpions. In the evenings they had s'mores. Rooms were nice and standard room had space for our double stroller and a crib. At the pool there is a shallow area for the younger ones and a water slide for everyone. We did not leave the resort for 3 days. The spa was clean and nice. There is a quiet adult only pool in the back of the spa that looked amazing.",,"great events, ranger station, tortoise, snakes, spiders, scorpions, water slide",,,,"great events, ranger station, tortoise, snakes, spiders, scorpions, water slide","great events, ranger station, tortoise, snakes, spiders, scorpions, water slide","The hotel has events for the kids. Ranger station onsite had tortoise, snakes, spiders, scorpions.
They have a water slide for everyone.",,,,"The hotel has events for the kids. Ranger station onsite had tortoise, snakes, spiders, scorpions.
They have a water slide for everyone.","The hotel has events for the kids. Ranger station onsite had tortoise, snakes, spiders, scorpions.
They have a water slide for everyone.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","great events, ranger station, tortoise, snakes, spiders, scorpions, water slide","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Had a great stay here. Resort is VERY kid friendly and has great events for the kids. Ranger station onsite had tortoise, snakes, spiders, scorpions. In the evenings they had s'mores. Rooms were nice and standard room had space for our double stroller and a crib. At the pool there is a shallow area for the younger ones and a water slide for everyone. We did not leave the resort for 3 days. The spa was clean and nice. There is a quiet adult only pool in the back of the spa that looked amazing."
81,"Talk about attention to detail! This was by far the most unique experience and best hotel I have ever stayed at. I dont know where to start, as everywhere I turned, there was something unique and fun. From the outdoor activities, firepit, games, tons of local art murals, local beer and wine, on call babysitters, the bst oatmeal bar Ive ever ate. The staff was always helpful and fun. Even the management was really hands on and incredibly friendly! I highly recommend staying here, even if you aren't already going to Tuscon for family or business, just go! I didnt even get to how incredibly cheap it was!!",,"outdoor activities, games, on call babysitters",,,,"outdoor activities, games, on call babysitters","outdoor activities, games, on call babysitters","The hotel has outdoor activities, on call babysitters.",,,,"The hotel has outdoor activities, on call babysitters.","The hotel has outdoor activities, on call babysitters.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","outdoor activities, games, on call babysitters","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Talk about attention to detail! This was by far the most unique experience and best hotel I have ever stayed at. I dont know where to start, as everywhere I turned, there was something unique and fun. From the outdoor activities, firepit, games, tons of local art murals, local beer and wine, on call babysitters, the bst oatmeal bar Ive ever ate. The staff was always helpful and fun. Even the management was really hands on and incredibly friendly! I highly recommend staying here, even if you aren't already going to Tuscon for family or business, just go! I didnt even get to how incredibly cheap it was!!"
82,"We stayed here for a night and loved it. The rooms and hotel have a charm, nicely decorated boutique style, cozy, and comfortable. They have a nice rooftop bar and pool and pretty much smack in the middle of State St. Everything is within walking distance on State St.

We loved the bed with pillow top mattress and I liked the plush pillows. There is a bird book and a pair of binoculars in every room to bird (or people) watch from the balcony. The bathroom was nice in the room we had, it had a TV and a nice bath tub/shower, soft towels, and good water pressure.

The staff was helpful, friendly, and prompt. We thought the charm and location was worth the premium

Note: The parking is a little funky if you miss it, it's between buildings on Carrillo, right after Finch&Fork and before the Spectrum Athletic Club.",,"bird book, a pair of binoculars",,,"Carrillo, Finch&Fork, Spectrum Athletic Club","bird book, a pair of binoculars","bird book, a pair of binoculars, State St., Carrillo, Finch&Fork, Spectrum Athletic Club",The hotel offers a bird book and a pair of binoculars in every room to bird watch from the balcony.,,,"They are located near Carrillo, Finch&Fork and Spectrum Athletic Club.",The hotel offers a bird book and a pair of binoculars in every room to bird watch from the balcony.,"The hotel offers a bird book and a pair of binoculars in every room to bird watch from the balcony.
They are located near Carrillo, Finch&Fork and Spectrum Athletic Club.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","bird book, a pair of binoculars","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: We stayed here for a night and loved it. The rooms and hotel have a charm, nicely decorated boutique style, cozy, and comfortable. They have a nice rooftop bar and pool and pretty much smack in the middle of State St. Everything is within walking distance on State St.

We loved the bed with pillow top mattress and I liked the plush pillows. There is a bird book and a pair of binoculars in every room to bird (or people) watch from the balcony. The bathroom was nice in the room we had, it had a TV and a nice bath tub/shower, soft towels, and good water pressure.

The staff was helpful, friendly, and prompt. We thought the charm and location was worth the premium

Note: The parking is a little funky if you miss it, it's between buildings on Carrillo, right after Finch&Fork and before the Spectrum Athletic Club."
83,"As motels go this one is very nice for the rate. Clean, comfortable and well-managed. You get what you pay for so the breakfast buffet is just OK. The pool is too small to swim laps (disappointing). The lobby area is spacious and comportable. 

If you are looking for a moderately priced place to sleep that is clean and comforable this will suit you just fine.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: As motels go this one is very nice for the rate. Clean, comfortable and well-managed. You get what you pay for so the breakfast buffet is just OK. The pool is too small to swim laps (disappointing). The lobby area is spacious and comportable. 

If you are looking for a moderately priced place to sleep that is clean and comforable this will suit you just fine."
84,"There are several RV parks & hotels in the Tucson area but you'll be hard pressed to find one as unique as El Pais.
A flock of adorable pink flamingos wait to greet you as you pull in. The owner Tony & her daughter are will greet you with a tour of the campgrounds. Tiny houses, retro trailers from the '50's, and an old tour bus are parked onsite. The hotel rooms are all being redo with quirky motifs like comic book and rock & roll. Walking into the clubhouse you'll find an assortment of old 45's waiting to be played. It's like walking back in time. Where did they find this stuff???
There's even a little chicken coop with 8 hens! You can go grab some fresh eggs for breakfast or find them waiting for you in the club house. 
So if you're looking for a fun & unique experience full of photo ops for an affordable price check it out!!",,"adorable pink flamingos, chicken coop, hens",,,,"adorable pink flamingos, chicken coop, hens","adorable pink flamingos, chicken coop, hens","A flock of adorable pink flamingos wait to greet you as you pull into the hotel.
There's a little chicken coop with 8 hens.",,,,"A flock of adorable pink flamingos wait to greet you as you pull into the hotel.
There's a little chicken coop with 8 hens.","A flock of adorable pink flamingos wait to greet you as you pull into the hotel.
There's a little chicken coop with 8 hens.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","adorable pink flamingos, chicken coop, hens","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: There are several RV parks & hotels in the Tucson area but you'll be hard pressed to find one as unique as El Pais.
A flock of adorable pink flamingos wait to greet you as you pull in. The owner Tony & her daughter are will greet you with a tour of the campgrounds. Tiny houses, retro trailers from the '50's, and an old tour bus are parked onsite. The hotel rooms are all being redo with quirky motifs like comic book and rock & roll. Walking into the clubhouse you'll find an assortment of old 45's waiting to be played. It's like walking back in time. Where did they find this stuff???
There's even a little chicken coop with 8 hens! You can go grab some fresh eggs for breakfast or find them waiting for you in the club house. 
So if you're looking for a fun & unique experience full of photo ops for an affordable price check it out!!"
