,review,true_strong,true_weak,other,true_strong_weak,abs_true_strong,abs_true_weak,abs_true_other,abs_true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_alt,abs_true_strong_weak_alt,comments,instruction,label,formatted_output
81,My favorite byob in the area. Every meal I have got there has been Sooo good. My whole family loves it. The tagglitelle w seafood is to die for!,,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: My favorite byob in the area. Every meal I have got there has been Sooo good. My whole family loves it. The tagglitelle w seafood is to die for!"
82,"Great boutique and coffee shop on the far eastside. The part of a great program to assist women who are exiting sex trafficking. There is a boutique that has lots of clothing and accessories for ladies. The prices are reasonable and the quality of the merchandise is high. The coffee shop is fantastic. It has a variety of coffees (all the usuals -- latte, drip, espresso, cappuccino, etc.). They also have hot and cold chai latte (I was told they are wonderful by my wife and son). The menu also includes steamers and a large variety of lattes. There is a cooler with soft drinks and water. They also sell 10-12 (I can't remember) varieties of Sundaes ice cream (which is the best ice cream in town, IMO). They also have some baked goods (scones and the like). Overall, I was impressed by the experience. I will definitely be back.","great boutique, great program, clothing, accessories",,,"great boutique, great program, clothing, accessories","They have a program to assist women who are exiting sex trafficking. 
They have a boutique that has lots of clothing and accessories for ladies.",,,"They have a program to assist women who are exiting sex trafficking. 
They have a boutique that has lots of clothing and accessories for ladies.","The restaurant has a program to assist women who are exiting sex trafficking. 
They have a boutique that has lots of clothing and accessories for ladies.",,,"The restaurant has a program to assist women who are exiting sex trafficking. 
They have a boutique that has lots of clothing and accessories for ladies.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","great boutique, great program, clothing, accessories","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Great boutique and coffee shop on the far eastside. The part of a great program to assist women who are exiting sex trafficking. There is a boutique that has lots of clothing and accessories for ladies. The prices are reasonable and the quality of the merchandise is high. The coffee shop is fantastic. It has a variety of coffees (all the usuals -- latte, drip, espresso, cappuccino, etc.). They also have hot and cold chai latte (I was told they are wonderful by my wife and son). The menu also includes steamers and a large variety of lattes. There is a cooler with soft drinks and water. They also sell 10-12 (I can't remember) varieties of Sundaes ice cream (which is the best ice cream in town, IMO). They also have some baked goods (scones and the like). Overall, I was impressed by the experience. I will definitely be back."
83,"This place is great. I've dined in numerous times. The food is good, the staff is really nice and your food arrives really quick. My family and I usually order both sushi and entrées. It was pretty busy today, but the servers were always aware of our drinks running low and knew when we were wrapping things up.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: This place is great. I've dined in numerous times. The food is good, the staff is really nice and your food arrives really quick. My family and I usually order both sushi and entrées. It was pretty busy today, but the servers were always aware of our drinks running low and knew when we were wrapping things up."
84,"Mighty Casey, well, the drunk guy was annoying but he was annoying everyone and it is a bar. 4 ways to bet; scratch off lottery machine, keno, computer nascar style racing and computer football. I was digging the cheesesteak. Good roll, a soft crust. Good amount of meat with good flavor. Extras were okay. Then I got my bill. $.49 for fried onions. $.69 for mushrooms. $.29 for lettuce. $.49 for tomato. I did not like it for $12.","scratch off lottery machine, keno, computer nascar style racing, computer football",,,"scratch off lottery machine, keno, computer nascar style racing, computer football","Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.",,,"Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.","Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.",,,"Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","scratch off lottery machine, keno, computer nascar style racing, computer football","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Mighty Casey, well, the drunk guy was annoying but he was annoying everyone and it is a bar. 4 ways to bet; scratch off lottery machine, keno, computer nascar style racing and computer football. I was digging the cheesesteak. Good roll, a soft crust. Good amount of meat with good flavor. Extras were okay. Then I got my bill. $.49 for fried onions. $.69 for mushrooms. $.29 for lettuce. $.49 for tomato. I did not like it for $12."
85,"I've been to many Acropolis locations and this one is pretty good. The location was convenient for my pedicure visit this past Saturday, but I don't think people would go out of their way to eat here. It is located by Starbucks as well as a place that has changed names sooo many times (now Eats!). There is outdoor seating, with heaters and is easy to find. The inside is very loud so choose outdoor seating if you want to talk to your dining partner. The food is really good. Hot, fresh and tasty. I did use the salt shaker, but I appreciate a place that doesn't over salt their food. Happy hour (3-7pm everyday) includes beer, wine, sangria and martinis. Had the cucumber martini which was super refreshing and light. Also had a Acropotini, which was tasty but too sweet. The chicken gyro was delicious and big for $8. We also tried the new spicy feta spread for $7. Complimentary bread is served with tzatziki as well. Everything was delightful. They make a fuss over birthday parties inside and throw napkins everywhere. If you're shy, don't choose this one for your birthday. They also have a regular bellydancer indoors who is not shy. Might want to leave the kids home for the dinner hours.",regular bellydancer,,,regular bellydancer,They have a regular bellydancer indoors.,,,They have a regular bellydancer indoors.,The restaurant has a regular bellydancer indoors.,,,The restaurant has a regular bellydancer indoors.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",regular bellydancer,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I've been to many Acropolis locations and this one is pretty good. The location was convenient for my pedicure visit this past Saturday, but I don't think people would go out of their way to eat here. It is located by Starbucks as well as a place that has changed names sooo many times (now Eats!). There is outdoor seating, with heaters and is easy to find. The inside is very loud so choose outdoor seating if you want to talk to your dining partner. The food is really good. Hot, fresh and tasty. I did use the salt shaker, but I appreciate a place that doesn't over salt their food. Happy hour (3-7pm everyday) includes beer, wine, sangria and martinis. Had the cucumber martini which was super refreshing and light. Also had a Acropotini, which was tasty but too sweet. The chicken gyro was delicious and big for $8. We also tried the new spicy feta spread for $7. Complimentary bread is served with tzatziki as well. Everything was delightful. They make a fuss over birthday parties inside and throw napkins everywhere. If you're shy, don't choose this one for your birthday. They also have a regular bellydancer indoors who is not shy. Might want to leave the kids home for the dinner hours."
86,"Royaly Rude off ellerslie was our 'go to' pizza place until the last experience with their managers deterred us for a long time. We ordered two medium pizzas and coke, came to 45.00 plus tip. The pizzas were both terribly made. Hardly any cheese with holes to the extra thick Dow that had no flavour. The toppings were ok but the sauce nearly invisible. Normally when something like this happens I bring it to a manager so they can offer a solution. The first manager I spoke to the following day offered us a 10.00 credit which I declined as our order was 50.00 after extra charges. She then told me she was placing a credit for both pizzas onto our account, which I clairifies before ending the call. That was two weeks ago. When I called last night they told me I had 10.00 credit and that they would call me back after speaking  with the manager who had applied this. They did not call me back. I caller again this morning to follow up and was told the girl didn't end up coming to work last night due to car troubles. She then had another fairly rude manager call me to tell me I'm basically lying about the whole thing. Not sure who is actually in charge over at that location but they could use a customer service course! Won't return for a long time! Very disappointed! If your going To charge royal prices, perhaps should hire some staff too match.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Royaly Rude off ellerslie was our 'go to' pizza place until the last experience with their managers deterred us for a long time. We ordered two medium pizzas and coke, came to 45.00 plus tip. The pizzas were both terribly made. Hardly any cheese with holes to the extra thick Dow that had no flavour. The toppings were ok but the sauce nearly invisible. Normally when something like this happens I bring it to a manager so they can offer a solution. The first manager I spoke to the following day offered us a 10.00 credit which I declined as our order was 50.00 after extra charges. She then told me she was placing a credit for both pizzas onto our account, which I clairifies before ending the call. That was two weeks ago. When I called last night they told me I had 10.00 credit and that they would call me back after speaking  with the manager who had applied this. They did not call me back. I caller again this morning to follow up and was told the girl didn't end up coming to work last night due to car troubles. She then had another fairly rude manager call me to tell me I'm basically lying about the whole thing. Not sure who is actually in charge over at that location but they could use a customer service course! Won't return for a long time! Very disappointed! If your going To charge royal prices, perhaps should hire some staff too match."
87,"Strange as it may seem, Circle City Pizza is our #2 choice for pizza after Jockamo. CCP is the only storefront business on Market east of City Market, and the demolition of the I-65 ramp and ensuing construction didn't help their visibility. But with the streetscape finished and lots of new neighbors (*cough* Sun King *cough*) I'm hoping that this locally-owned chain/franchise thing will see increased traffic through their sad little dining room. Don't bother with the breadsticks or sandwiches, the thin, crunchy pizza is where it's at. It's cheap and lowbrow in the best way possible. I favor the crumbly sausage.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Strange as it may seem, Circle City Pizza is our #2 choice for pizza after Jockamo. CCP is the only storefront business on Market east of City Market, and the demolition of the I-65 ramp and ensuing construction didn't help their visibility. But with the streetscape finished and lots of new neighbors (*cough* Sun King *cough*) I'm hoping that this locally-owned chain/franchise thing will see increased traffic through their sad little dining room. Don't bother with the breadsticks or sandwiches, the thin, crunchy pizza is where it's at. It's cheap and lowbrow in the best way possible. I favor the crumbly sausage."
88,This place had a nice vibe. We sat outside. I was underwhelmed by the flight because each drink tasted more like the syrup flavor. The oysters were super good though. They almost took me back to New Orleans. The bulto go tacos were good and filling. Lots of different flavors there. I'd have like more of a crisp on the steak. The chocolate mousse cake surprised me but was pretty good.,,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: This place had a nice vibe. We sat outside. I was underwhelmed by the flight because each drink tasted more like the syrup flavor. The oysters were super good though. They almost took me back to New Orleans. The bulto go tacos were good and filling. Lots of different flavors there. I'd have like more of a crisp on the steak. The chocolate mousse cake surprised me but was pretty good."
89,"Up until our last two visits I would have rated 4.5 stars. Food has been delicious and service from bartender Elliot has been top notch!  Sadly, NO MORE. We don't live in the area either and make it point to visit Black Powder Tavern when we can, especially for the Toll House Pie. Though this desert has seen changes from pie slice, to individual sized pie/tart pan, and then back to pie slice it was a favorite of ours. However, whom ever is making it now, PLEASE STOP THEM. The last two visits there have been no chocolate chips in the pie, so all you are left with is a slightly under-cooked mess of tasteless dough. The only thing worth eating on the dish is the ice cream. :( Please fix this.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Up until our last two visits I would have rated 4.5 stars. Food has been delicious and service from bartender Elliot has been top notch!  Sadly, NO MORE. We don't live in the area either and make it point to visit Black Powder Tavern when we can, especially for the Toll House Pie. Though this desert has seen changes from pie slice, to individual sized pie/tart pan, and then back to pie slice it was a favorite of ours. However, whom ever is making it now, PLEASE STOP THEM. The last two visits there have been no chocolate chips in the pie, so all you are left with is a slightly under-cooked mess of tasteless dough. The only thing worth eating on the dish is the ice cream. :( Please fix this."
90,"This is my favorite local sushi place. I love that it's tiny, but you never have to wait long for a table. Still, there are always plenty of customers. They play random music, sometimes Japanese techno, sometimes Mexican music... you just never know. And there are lots of neon signs. The sushi chef once did a puppet show for us when we sat at the counter. And they give Hershey kisses with the bill. They have quite a few creative rolls, and also the expected standards. And fabulous miso soup. I love the Shintori Dome, which is a bunch of things like crab, tuna, avocado, and shrimp mixed together on top of a thin(ish) layer of rice, drizzled with yummy sauce. I went there a few days ago and while we didn't wait for the table, the food took a while to get to us. They seemed to have an inordinate number of take-out orders. I love the ambiance and wasn't starving (and they give every table an order of edamame when they sit down), so it didn't bother me. But maybe try somewhere else if in a hurry. Can't think of anywhere off the top of my head.",puppet show,"Japanese techno, Mexican music, neon signs",,"puppet show, Japanese techno, Mexican music, neon signs",The sushi chef once did a puppet show for customers who sat at the counter.,"They play random music, sometimes Japanese techno, sometimes Mexican music. They have lots of neon signs.",,"The sushi chef once did a puppet show for customers who sat at the counter.
They play random music, sometimes Japanese techno, sometimes Mexican music.
They have lots of neon signs.",The sushi chef once did a puppet show for customers who sat at the counter.,"They play random music, sometimes Japanese techno, sometimes Mexican music. They have lots of neon signs.",,"The sushi chef once did a puppet show for customers who sat at the counter.
The restaurant plays random music, sometimes Japanese techno, sometimes Mexican music.
They have lots of neon signs.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","puppet show, Japanese techno, Mexican music, neon signs","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: This is my favorite local sushi place. I love that it's tiny, but you never have to wait long for a table. Still, there are always plenty of customers. They play random music, sometimes Japanese techno, sometimes Mexican music... you just never know. And there are lots of neon signs. The sushi chef once did a puppet show for us when we sat at the counter. And they give Hershey kisses with the bill. They have quite a few creative rolls, and also the expected standards. And fabulous miso soup. I love the Shintori Dome, which is a bunch of things like crab, tuna, avocado, and shrimp mixed together on top of a thin(ish) layer of rice, drizzled with yummy sauce. I went there a few days ago and while we didn't wait for the table, the food took a while to get to us. They seemed to have an inordinate number of take-out orders. I love the ambiance and wasn't starving (and they give every table an order of edamame when they sit down), so it didn't bother me. But maybe try somewhere else if in a hurry. Can't think of anywhere off the top of my head."
91,"Tried this place when it first opened and was not impressed at all. Some food was decent but nothing to write home about and the owner seemed to be rude, arrogant and entitled. Decided to chalk it up to maybe a bad day and being a new business and let them be open awhile before going back. After being open a while we started to see and hear mixed reviews about the place some bad but mostly ok or good so we gave it another try. Food seemed a little better but still nothing spectacular. Most of it tasted like you could get it from the freezer section of your local grocery store. But all in all, not horrible. The owner seemed to be a lot more relaxed this time around. But the later it got the more she seemed to be drinking more drinks than she was serving and became kind of obnoxious (which we had heard was a common occurnace) this place seems to do just ok...but not a place for us. Especially since it's sort of a drive. And fyi, from what we've heard when the owner does start drinking, it's a good idea to keep an eye on your husbands. Apparently she likes to get uncomfortably friendly with men...",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Tried this place when it first opened and was not impressed at all. Some food was decent but nothing to write home about and the owner seemed to be rude, arrogant and entitled. Decided to chalk it up to maybe a bad day and being a new business and let them be open awhile before going back. After being open a while we started to see and hear mixed reviews about the place some bad but mostly ok or good so we gave it another try. Food seemed a little better but still nothing spectacular. Most of it tasted like you could get it from the freezer section of your local grocery store. But all in all, not horrible. The owner seemed to be a lot more relaxed this time around. But the later it got the more she seemed to be drinking more drinks than she was serving and became kind of obnoxious (which we had heard was a common occurnace) this place seems to do just ok...but not a place for us. Especially since it's sort of a drive. And fyi, from what we've heard when the owner does start drinking, it's a good idea to keep an eye on your husbands. Apparently she likes to get uncomfortably friendly with men..."
92,"I've been to this Hudsons maybe a dozen times (or less) over the past few years for different types of gatherings - usually dancey dance birthday parties or after an ESSC game for free wings. In all honestly, I'd never gone to this or any other Hudsons specifically for a meal until this week. We had gotten a $25 gift certificate from ESSC that was about to expire. Can't waste free food! My review for this specific experience: Went on a Monday right after work. It wasn't busy. Confusing combo of sports on TV and Lady gaga et al on the speakers. Our waitress was good, professional if not anything else. I didn't really want anything on the menu, but I got the guacamole bacon burger. The first half was alright. No real distinct flavours, everything just kind of blending together. Once I got into the second half, I became overwhelmed with some sort of sickly sweet orange sauce on it that just made me totally nauseated. I couldn't finish it. My side caeser was fine, but hardly had any dressing on it. I don't really like Hudsons as a place to go out dancing because they play all the same Top 40/mash up crap that every other place plays. The dance floor is pretty small and it gets crowded and hot. it's awkward walking through the jungle of tall chairs, too. They have a few of the good, mainstream Canadian beers available. Since this location isn't right in the downtown core, I can't see myself going here for drinks after work or anything like that. If you're in the area, head to Brewsters down the street for much better food and beer!",dance floor,,,dance floor,They have a dance floor.,,,They have a dance floor.,The restaurant has a dance floor.,,,The restaurant has a dance floor.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",dance floor,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I've been to this Hudsons maybe a dozen times (or less) over the past few years for different types of gatherings - usually dancey dance birthday parties or after an ESSC game for free wings. In all honestly, I'd never gone to this or any other Hudsons specifically for a meal until this week. We had gotten a $25 gift certificate from ESSC that was about to expire. Can't waste free food! My review for this specific experience: Went on a Monday right after work. It wasn't busy. Confusing combo of sports on TV and Lady gaga et al on the speakers. Our waitress was good, professional if not anything else. I didn't really want anything on the menu, but I got the guacamole bacon burger. The first half was alright. No real distinct flavours, everything just kind of blending together. Once I got into the second half, I became overwhelmed with some sort of sickly sweet orange sauce on it that just made me totally nauseated. I couldn't finish it. My side caeser was fine, but hardly had any dressing on it. I don't really like Hudsons as a place to go out dancing because they play all the same Top 40/mash up crap that every other place plays. The dance floor is pretty small and it gets crowded and hot. it's awkward walking through the jungle of tall chairs, too. They have a few of the good, mainstream Canadian beers available. Since this location isn't right in the downtown core, I can't see myself going here for drinks after work or anything like that. If you're in the area, head to Brewsters down the street for much better food and beer!"
93,"I want to love (or at least like) this place since it is 2 blocks from my house, unfortunately all four visits have been really disappointing.Location:  great spot, thoughtfully restored and well decorated. I don't prefer community seating, but it is well done here and not too much of a turn off. Drink: sigh. The cocktail list is limited and the bartender does not invite collaboration to ensure that the customer receives a satisfactory (and expensive) cocktail. The first time we visited there were one a few cocktails and all contained gin and whisky, a gin and tea cocktail sounded tasty but I dislike gin so I asked if vodka or bourbon could be substituted-- an eye roll and a 'I will see if the bartender will do this' later and I am stuck with a lackluster cocktail. Later visits revealed an equally disappointing list (the drinks are just poorly conceived) and still few and unimpressive wine options. Food:  the most disappointing. Many of the dishes sound delicious and we have tried quite a few, but expect for the steak they have all been very poorly executed. Dry and bland tamales, undercooked beets, sloppy stew-type entrees and fishy ceviche. Service: we have had both great and not so great experiences. My biggest gripe is the insistence that food come out 'tapas style' which, at treehouse, means one dish at a time. My boyfriend and I went for a late night bite at 11, he ordered the frito pie and I ordered the tamales. When taking our order we were told that the dishes would be sent out one at a time because they were meant to be shared, and though we insisted we weren't sharing (and we were 2 of only 5 customers), the server (who might have been the owner) INSISTED. So, we say there and I watched him eat, then he watched me eat. Staggering should be a suggestion, not a requirement. Overall, a lot of kinks that seem to be sticking around a bit too long.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I want to love (or at least like) this place since it is 2 blocks from my house, unfortunately all four visits have been really disappointing.Location:  great spot, thoughtfully restored and well decorated. I don't prefer community seating, but it is well done here and not too much of a turn off. Drink: sigh. The cocktail list is limited and the bartender does not invite collaboration to ensure that the customer receives a satisfactory (and expensive) cocktail. The first time we visited there were one a few cocktails and all contained gin and whisky, a gin and tea cocktail sounded tasty but I dislike gin so I asked if vodka or bourbon could be substituted-- an eye roll and a 'I will see if the bartender will do this' later and I am stuck with a lackluster cocktail. Later visits revealed an equally disappointing list (the drinks are just poorly conceived) and still few and unimpressive wine options. Food:  the most disappointing. Many of the dishes sound delicious and we have tried quite a few, but expect for the steak they have all been very poorly executed. Dry and bland tamales, undercooked beets, sloppy stew-type entrees and fishy ceviche. Service: we have had both great and not so great experiences. My biggest gripe is the insistence that food come out 'tapas style' which, at treehouse, means one dish at a time. My boyfriend and I went for a late night bite at 11, he ordered the frito pie and I ordered the tamales. When taking our order we were told that the dishes would be sent out one at a time because they were meant to be shared, and though we insisted we weren't sharing (and we were 2 of only 5 customers), the server (who might have been the owner) INSISTED. So, we say there and I watched him eat, then he watched me eat. Staggering should be a suggestion, not a requirement. Overall, a lot of kinks that seem to be sticking around a bit too long."
94,"One & done. I have literally never been to a restaurant where no one cares about their customers. Is this a new trend?? Don't invite them in, don't smile or make eye contact, don't acknowledge them & don't take a moment to thank them for coming in? I spent almost $75 on 2 sandwiches, an app, a couple weak drinks & a tip (ps. what is the tip for exactly?? I brought my order to the counter, I seated myself, I served myself drinks & bussed my own table. Basically I spent $15 for someone to walk my food 4 feet.) I like the industrial/ themed look of the place & want to support local places. But, food was blah & not at all worth the money. Who charges $6 for potato salad or 6 French fries? Ultimately, I felt like an unwelcome guest in a strangers kitchen. On the way out I noted that there were twice the staff to patrons & STILL not one of them thanked us for CHOOSING to spend money w them over hundreds of other great rest in the area.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: One & done. I have literally never been to a restaurant where no one cares about their customers. Is this a new trend?? Don't invite them in, don't smile or make eye contact, don't acknowledge them & don't take a moment to thank them for coming in? I spent almost $75 on 2 sandwiches, an app, a couple weak drinks & a tip (ps. what is the tip for exactly?? I brought my order to the counter, I seated myself, I served myself drinks & bussed my own table. Basically I spent $15 for someone to walk my food 4 feet.) I like the industrial/ themed look of the place & want to support local places. But, food was blah & not at all worth the money. Who charges $6 for potato salad or 6 French fries? Ultimately, I felt like an unwelcome guest in a strangers kitchen. On the way out I noted that there were twice the staff to patrons & STILL not one of them thanked us for CHOOSING to spend money w them over hundreds of other great rest in the area."
95,"Take-Out Review: We were looking for a quick grab-and-go cafe place around the Metairie area, and stumbled upon this location searching Apple Maps. Since we didn't actually dine-in, I'm not comfortable discussing the interior ambience, but will talk about the coffee and food. I got a small vanilla latte, and was very satisfied with the result. Just the right sweetness and coffee levels for me in a vanilla latte, and not too hot to burn my tongue first sip, but warm enough to last me the next 20. The croissant and cream cheese, though, was underwhelming, with the croissant not being as warm as I would've liked, and a lack of crispness and flakiness I desired means I unfortunately cannot recommend that specific dish.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Take-Out Review: We were looking for a quick grab-and-go cafe place around the Metairie area, and stumbled upon this location searching Apple Maps. Since we didn't actually dine-in, I'm not comfortable discussing the interior ambience, but will talk about the coffee and food. I got a small vanilla latte, and was very satisfied with the result. Just the right sweetness and coffee levels for me in a vanilla latte, and not too hot to burn my tongue first sip, but warm enough to last me the next 20. The croissant and cream cheese, though, was underwhelming, with the croissant not being as warm as I would've liked, and a lack of crispness and flakiness I desired means I unfortunately cannot recommend that specific dish."
96,"I love this place. The natural light is wonderful. Just a good vibe. Nice to be in an area of STL thats being nurtured with small business (it is on the border of UCity & CWE). Good staff that seem happy to be there. The gift shop is a gem. Great place to shop and browse after brunch. I have only been on a weekday for breakfast, know that the crowd does pick up for lunch. Would recommend!",gift shop,,,gift shop,They have a gift shop.,,,They have a gift shop.,The restaurant has a gift shop.,,,The restaurant has a gift shop.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",gift shop,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I love this place. The natural light is wonderful. Just a good vibe. Nice to be in an area of STL thats being nurtured with small business (it is on the border of UCity & CWE). Good staff that seem happy to be there. The gift shop is a gem. Great place to shop and browse after brunch. I have only been on a weekday for breakfast, know that the crowd does pick up for lunch. Would recommend!"
97,"This place was amazing. I wasn't feeling *super* adventurous so I got a nice mellow chicken dish, and it was cooked to perfection. My companion got ravioli in yogurt sauce, which certainly seemed unusual to me, but I did try it, and it was good. I don't know if I'd order it myself, but I can see the appeal. Service was great, atmosphere was great, but oh, my, the kunefe! You're going to want to get this dessert. It was remarkable. Don't forget to order it early, though; it takes a while to prepare.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: This place was amazing. I wasn't feeling *super* adventurous so I got a nice mellow chicken dish, and it was cooked to perfection. My companion got ravioli in yogurt sauce, which certainly seemed unusual to me, but I did try it, and it was good. I don't know if I'd order it myself, but I can see the appeal. Service was great, atmosphere was great, but oh, my, the kunefe! You're going to want to get this dessert. It was remarkable. Don't forget to order it early, though; it takes a while to prepare."
98,This place is great. The food is always fresh and cooked perfectly. The staff is awesome always friendly and eager to make sure your satisfied. The outdoor patio is great when you want to sit outside and have a drink. I love that I can Now get Tony's awesome pizza delivered to glenside on uber eats.,,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: This place is great. The food is always fresh and cooked perfectly. The staff is awesome always friendly and eager to make sure your satisfied. The outdoor patio is great when you want to sit outside and have a drink. I love that I can Now get Tony's awesome pizza delivered to glenside on uber eats."
99,"I've been here a number of times, and it just keeps getting worse. Compared to other Thai restaurants I've been to around the country and in Southeast Asia, Char's is a far cry from a true Thai dining experience. All of the usual suspects are on the menu, but fall short of my expectations. Typically, I find their veggies to be overcooked/limp, and the curries to be very thin and lacking in depth and richness. The same can be said for their soups and rice dishes - lacking flavor and not cooked well. Furthermore, when it comes to service, I've found the wait staff to be incredibly short and cold in dealing with myself and other guests (always rushing around, never taking the time to talk to you more than taking your order and scurrying off). I've been here with family friends before, who's Shrimp dish was obviously not fresh (as we all confirmed by trying a bit at our table before notifying the management) and they REFUSED to correct it in any way, charging us full price for the dish! Absurd. Quality Thai food is pretty hard to come by in Tucson, so Char's is passable for most, but I just can't stomach it...",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I've been here a number of times, and it just keeps getting worse. Compared to other Thai restaurants I've been to around the country and in Southeast Asia, Char's is a far cry from a true Thai dining experience. All of the usual suspects are on the menu, but fall short of my expectations. Typically, I find their veggies to be overcooked/limp, and the curries to be very thin and lacking in depth and richness. The same can be said for their soups and rice dishes - lacking flavor and not cooked well. Furthermore, when it comes to service, I've found the wait staff to be incredibly short and cold in dealing with myself and other guests (always rushing around, never taking the time to talk to you more than taking your order and scurrying off). I've been here with family friends before, who's Shrimp dish was obviously not fresh (as we all confirmed by trying a bit at our table before notifying the management) and they REFUSED to correct it in any way, charging us full price for the dish! Absurd. Quality Thai food is pretty hard to come by in Tucson, so Char's is passable for most, but I just can't stomach it..."
100,Austin whipped up the best drinks from scratch that we're amazing super personality and his creations were unbelievable definitely worth a visit great experience best  of all the prices of these cocktails were reasonable.,,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Austin whipped up the best drinks from scratch that we're amazing super personality and his creations were unbelievable definitely worth a visit great experience best  of all the prices of these cocktails were reasonable."
101,"I LOVE this Keva!!! I think I probably visit here at LEAST once a week. Not only is the menu amazing, but the staff is awesome and extremely friendly! There is practically never a wait and they get you right in and out!",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I LOVE this Keva!!! I think I probably visit here at LEAST once a week. Not only is the menu amazing, but the staff is awesome and extremely friendly! There is practically never a wait and they get you right in and out!"
