,review,true_nc,true_oc,true_nc_oc,true_nc_reasoning,reasoning
20,"Sol Luna is the ideal place to go and chill back. They have a huge verity of hookah flavors, all hookahs come with ice tips. The comfort food they offer is pretty good, but the teas and smoothies they make are excellent. What makes Sol Luna stand out is the events that they offer.......Whether its a hypnosis show, drag show, karaoke night, or QuizO, there is always some kind of entertainment going on. All of the staff are friendly as well.","events, hypnosis show, drag show, karaoke night, QuizO, entertainment",None,"events, hypnosis show, drag show, karaoke night, QuizO, entertainment","* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment events. Therefore, I think that ‘events’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment events such as hypnosis shows. Therefore, I think that the ‘hypnosis show’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment events such as drag shows. Therefore, I think that the ‘drag show’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment event such as karaoke night. Therefore, I think that the ‘karaoke night’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment event such as QuizO. Therefore, I think that ‘QuizO’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any sort of entertainment. Therefore, I think that ‘entertainment’ is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment events. Therefore, I think that ‘events’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment events such as hypnosis shows. Therefore, I think that the ‘hypnosis show’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment events such as drag shows. Therefore, I think that the ‘drag show’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment event such as karaoke night. Therefore, I think that the ‘karaoke night’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any kind of entertainment event such as QuizO. Therefore, I think that ‘QuizO’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, beverages such as teas, smoothies, etc, and drugs such as tobacco, hookah, etc. However, restaurants do not typically provide any sort of entertainment. Therefore, I think that ‘entertainment’ is an atypical aspect of this restaurant."
21,"I'm really conflicted about what to rate Urban Shabu. The menu items were extensive but as other reviewers mentioned, the portions the staff give you are very inconsistent and therefore it gets confusing when you want to order more. For instance, we ordered what we thought were several orders of the shittake mushrooms, but received literally about 5-6. We upped the ante on our next order and doubled our original order, but didn't receive ANY the next round, or the round after that. We think they ran out, but they could have at least informed us. Aside from this, I enjoyed that everyone gets their own individual hot pot and soup base. The sauce station is also extensive and I like that it's DIY. Oh, and the seat covers to keep your jackets from getting smelly is a nice touch. I probably would have rated Urban Shabu 4 or 4.5, but the one thing that REALLY turned us off from our meal was the huge cockroach we saw scampering up the wall less than 1 foot away from us about 15 minutes before we were about to leave. It was disgusting. I'm not talking about a tiny bug either, but a full size cockroach. We heard that the restaurant upstairs has (had?) infestation problems in the past, but that's certainly no excuse for Urban Shabu. It's a shame because this place was a fairly good hot pot restaurant too. That said, I'd probablyyyyyy come back (ack! I'm saying this very hesitantly).. but not before they fix some major issues: bugs and portion standardization.",None,None,None,None,None
22,"I make it a habit to visit gluten free bakeries and cafes when in different cities, and stopped by New Deal when driving through. I really wanted to like it because I appreciate fully gluten free restaurants. Here's what I tried:French toast - Good! Nothing spectacular, but it was fluffy.Sausages - averageBiscuit - it was not very biscuit-y, more like a dinner roll in a biscuit shape. I would not order it again. (I've had gluten free biscuits at other places that are amazing - flaky and you would never know they were gluten free because they are so amazing.)Brookie - Good, but nothing spectacular. I wouldn't drive out of my way to eat here again, but it's a good option if you're local.",None,None,None,None,None
23,"Possibly the best burgers in Philly! Cannot beat Sketch for the amazing burgers and fries at the price point!They also have great therapeutic sketching at every table, and if good your sketch will be on the wall!Recommend: Kobe Beef Burger with the sweet potato fries and the curry ketchup!*NOTE: Cash only.",great therapeutic sketching,wall,"great therapeutic sketching, wall","* Restaurants typically focus on providing food, drinks, and arrangements associated with them such as tables, chairs, plates, spoons, etc. However, restaurants do not typically have therapeutic sketching on the table. Therefore, I think that ""great therapeutic sketching"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, drinks, and arrangements associated with them such as tables, chairs, plates, spoons, etc. However, restaurants do not typically have therapeutic sketching on the table. Therefore, I think that ""great therapeutic sketching"" is an atypical aspect of this restaurant."
24,"Came here with a fellow Masonic brother for a good dinner before a difficult memorial service. Was able to meet the brewmaster and get an amazing tour de bier and history lesson with everything changing, explanation of notes and all of the accoutrement that goes with a blue ribbon tasting experience, all contained within the confines of it culturally amazing German experience on the cusp of Oktoberfest.Looking at the food menu, I was aghast at the fact I could not possibly enjoy everything once and have room to get back into my vehicle. The beer was extremely good, it is definitely not for those that go through a keg a la college. The subtle hints gained from a sipping experience are bar none in the whole of the Tampa Bay area. This bier has culture, and anyone that wants to step through these doors should have culture of their own before they realize they're in over their head if they have commercial beer on the mind.Prepare yourself for a great sleeping experience, and bring your business contacts! Do not live a boring life, don't regret not going here today!This is a German bierhaus done right!","amazing tour de bier, history lesson",None,"amazing tour de bier, history lesson",None,None
25,"The difference between Thai and Laotian cuisine is damned if I know.  It is a fairly safe bet that if you like one, you'll like the other.All of the curries here are very tasty.  The Shrimp sweet basil is very good and so is the triple-flavor red snapper.  I also have to hand it to this place for making my favorite thai iced tea in Philly.  It is like the tea leaves, condensed milk, and sugar had formed an unholy alliance with the devil so that they could climb to the top of the thai iced tea game.  It is very sweet and very tea-y.  ? Whatever.Anyhow, the place has a pretty ambiance and the service has always been stupendous.  On top of all this, it is a BYOB.  It is a great place.",None,None,None,"* Restaurants typically focus on providing any type of food, beverages such as curries, thai iced teas, etc, good service. Restaurants also focus on providing ambience.","* Restaurants typically focus on providing any type of food, beverages such as curries, thai iced teas, etc, good service. Restaurants also focus on providing ambience."
26,"Heard about this place on DDD on Food Network and got excited to see if a place could actually make a Tamale comparable to my Mom's. I will travel anywhere for great food and a great experience and this seemed to have it all. Great food from the Mexican husband AND THEN a fusion of the styles with his in-laws as part of the business. After I posted on Facebook that I would be coming here my friends gave recommendations and prepared me for awesomeness.I even convinced my pregnant wife to travel 1+ hours down to Indianapolis, after the Indianapolis State Fair, to eat here for dinner. We got even more excited when we got there and we could tell that they had renovated and updated their look since the show had aired with bright green colors and the workers wearing matching outfits and headbands. From there it was down hill.The young, blonde, male worker rolled his eyes as came in through the door and approached the counter. Being newbies we had a tough time with the menu but got no assistance, only a blank stare wondering why we had bothered to come bother him on the weekend. Understanding that their food is really good and once it is gone.. it is gone. They even put a big screen tv up in front of the register to tell you what flavors they had remaining. I don't feel stupid because instinct has you looking at their main board for the menu offerings and everyone that came in after us made the same mistake. Yats Cajun has a similar method but they erase the menu item that they have run out of. HINT HINTBefore I could complete my order, with the young and obviously annoyed dude, part of my order was ready for payment at another register? I had not completed my order and I was being asked to pay... This caused even more confusion as we were trying to order for my wife and my 5 and 3 yrs old.I had 2 options for tamales. Chicken in green salsa and some other option. IT wasnt bad but it was not what DDD described as way more meat and filling than masa. A good tamale has enough masa to hold it together but not too much where it masks the flavor of the filling. I gave it to the kids as they didn't really mind bland and minimally flavored food. They couldn't tell the difference between the chicken chunks and the giant mound of masa I chiseled out for them. I also got 2 tacos Steak and Pork. Steak was dry and not what a steak taco should be. Saving grace was the tortilla... sad. Guacamole was stringy and old as it hangs out in plastic containers that sit in a shelf all day. Guac has to be made fresh in order for it to stand out as being good. GOOD ABOUT THE PLACEPork was very good and juicy. Tortillas are very good. Chips were amazing.This is the First time I have been disappointed in visiting a place I saw on TV. Maybe going in during the day shift or during the week instead of a Sunday in the afternoon would change that up? Maybe annoyed dude hates working the weekend? Or maybe during the day the actual folks that were on the program are there when the good reviews come in? You can obviously tell that their values are not shared by everyone on their staff including annoyed dude. Everywhere else I have gone that is featured on the show I have had a great time with. I have even gotten a chance to talk to the owners at Camp Washington in Cincinnati. This was not one of those times. Glad to say that my Mom's Tamales are still 100x better than this hyped up mess.","DDD, Food Network",None,"DDD, Food Network",None,None
27,"The big draw of this place is the excellent pizza, which you can have with beer on an outside deck with a view of parklands. It's a nice place to hang out on a sunny afternoon. You can even go for a walk in the Goose Creek Park behind the restaurant afterwards to burn off the calories you just consumed. The big minus is that if you go for lunch or in early afternoon, the menu is really limited. ""Grill"" is a misnomer - should really be called Goose Creek Pizza and Salad because that, along with a few pedestrian sandwich and appetizer choices, is all they offer before 4:30 pm. The menu had a whole page of entrees that looked tasty, but are only served after 4:30 pm. Since we were there before 4:30 pm, we didn't get to eat any, and I'm not sure I want to go back in the evening when it's probably more crowded and less fun to eat outdoors. The pizza selections are interesting - everything from bacon cheeseburger to various veggie and cheese combos - and the crust is very good, better than Uno's up the street. It would be nice if Goose Creek had a choose-your-own-toppings option as I don't think I saw one. The beer selection is OK - not a lot on tap, a few more selections in the bottle. I think Uno's up the street beats them there. This place also seems to attract a goodly number of families with kids at lunch times, probably because it serves pizza and there's a playground in the adjoining park, so be aware that you'll probably be swigging back your beer with someone's little Muffy and Joshie scampering past your table. Of course, after the second or third beer, you probably won't care.","parklands, Goose Creek Park, playground",None,"parklands, Goose Creek Park, playground",None,None
28,"The ambiance is great, they have a children's menu, they serve half rolls upon request, and the staff are friendly.  The sushi is really lacking though...There were huge inconsistencies between our first and second visits, so it's hard to pinpoint the exact reason, but I think a big part of it might be the rice.  It has a chewy texture that I really wasn't a fan of. Add baking to that rice, as some of the rolls did, and it's a gummy, chewy mess. The nigiri during our first visit had a nice rice to fish ratio, our second visit...the nigiri was huge, not the bite sized pieces it should be.  I did like the egg roll appetizer, although I think that it was more like a rolled crab Rangoon than an egg roll.  The dragon balls were tasty on our first visit (breaded and fried jalapeño coins topped with crab and a tasty sauce), but on our second visit...the jalapeños were not really cooked, the breading fell off...and the ribs and seeds hadn't been removed so the jalapeños were just raw and too spicy/hot for me to eat.Ok, now on to the children's menu.  I think it is great that they offer one, but the chicken jerky that they tried pass off as chicken strips was just atrocious.  It was so thinly sliced that when breaded and fried it became almost inedible.  My grandson gnawed on one piece for a few minutes before giving up on it altogether.  (We fed him dinner after we left) I'm bummed...I tried to like this place. I even visited it a second time since our first visit was during their first week open.  I thought perhaps they just hadn't worked out all the kinks at that point, and perhaps that IS the problem.  I think I'll hold off on spending any more money here though.",None,None,None,None,None
29,Great service. We shared a small mimosas (it was not small at all ). Leftovers for later. A good mix of traditional American breakfast and traditional Mexican food. Great for breakfast brunch lunch and dinner. We will be back !,None,None,None,None,None
30,"Outstanding deli. The sandwiches we had were all great. But the secret might be in the extras that they serve. Macaroni bites, homemade chocolate ice cream and homemade brownies were all killer. Goofy and fun stuff made it a great place to go. Nice playroom for the kids as well. Give it a try!",Nice playroom,None,Nice playroom,None,None
31,"Mighty Casey, well, the drunk guy was annoying but he was annoying everyone and it is a bar. 4 ways to bet; scratch off lottery machine, keno, computer nascar style racing and computer football. I was digging the cheesesteak. Good roll, a soft crust. Good amount of meat with good flavor. Extras were okay. Then I got my bill. $.49 for fried onions. $.69 for mushrooms. $.29 for lettuce. $.49 for tomato. I did not like it for $12.","scratch off lottery machine, keno, computer nascar style racing, computer football",None,"scratch off lottery machine, keno, computer nascar style racing, computer football","* Restaurants typically focus on providing food such as cheesesteaks, rolls, etc, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment units related to any kind of game such as scratch-off lottery machines. Therefore, I think that ‘scratch off lottery machine’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as cheesesteaks, rolls, etc, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as  computer nascar stype racing. Therefore, I think that ‘computer nascar stype racing’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as cheesesteaks, rolls, etc, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as computer football. Therefore, I think that ‘computer football’ is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food such as cheesesteaks, rolls, etc, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment units related to any kind of game such as scratch-off lottery machines. Therefore, I think that ‘scratch off lottery machine’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as cheesesteaks, rolls, etc, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as  computer nascar stype racing. Therefore, I think that ‘computer nascar stype racing’ is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as cheesesteaks, rolls, etc, and ambiance-related entertainment such as recorded music. However, restaurants do not typically provide entertainment related to any kind of game such as computer football. Therefore, I think that ‘computer football’ is an atypical aspect of this restaurant."
32,"I was visiting from Florida and we found this place during our short stay. We came for dinner and were back the very next morning for brunch. It is an absolutely gorgeous, peaceful atmosphere with beautiful plants all over the place. The details in their service are so lovely...they serve bread made in a clay pot with a side of peach-honey salted whipped butter. YUM. The food was great both times. I had a mushroom cream soup at dinner that was delicious and for brunch, the breakfast board. The hosts and severs were all so kind to us. The manager we met, Molly, was an absolute sweetheart and so hospitable. Behind the restaurant is a huge area of plants for sale, which are ALL in impeccable condition (I did not see one plant that did not look well taken care of and completely happy...I wanted to buy so many haha), and a cute indoor store with beautiful pots, candles, terrariums, etc. I am in love with this place and seriously wish there was one where I live. Thank you for a great memory...I'll be back!!!!!","huge area, plants, cute indoor store, beautiful pots, candles, terrariums",None,"huge area, plants, cute indoor store, beautiful pots, candles, terrariums",None,None
33,I haven't had a chance to dine here but their nightclub on Saturday nights is amazing! The cover charge is $5 and they have a few bars inside so you can get drinks no matter where you're at. The music is mostly reggaeton and mexican fused with hip hop. I really enjoyed the variety and there was a good sized crowd too! They have a secluded VIP area where you can dance in an elevated room with an open section to see out onto the dancefloor. This was very nice because the ladies get to take their shoes off [: There was also a small window between our VIP area and the bar behind the wall so you could order drinks through it like a drive-thru type thing. The bouncers were kind enough to let us take over this section even though we hadn't reserved it :P The entire VIP area is separated by a huge door so getting in is difficult if the bouncer isn't too fond of you.. Shots are in the 5 dollar range and margaritas were only 3 I think.. Overall I think this is a great place if you like to go out for a night of dancing. Not seeing any reviews on here for their night scene but it definitely deserves some praise. I will be coming back here for sure!,their nightclub,None,their nightclub,None,None
34,"We had a large group party, and we called ahead to make reservations. When we arrived, our tables were ready without wait, and the staff was so helpful and attentive! Large groups can be hard to deal with, and this place really came through. They made our night out amazing. Everyone enjoyed what they ordered, and many of us tried each other's food. Everything I tasted was GREAT! I wish I could come back and order one of everything!",None,None,None,None,None
35,"I'm not satisfied or pleased with the seafood pan I ordered tonight its obvious Boil Seafood House on Magazine St. has cut back and under new management. I've never ordered a pan with this small amount of crawfish and the manager on duty tells me it looks like a pound, that tells me she doesn't know and wasn't trying to accommodate my complaint. I'm a regular that will no longer give Boil Seafood House any business I definitely wasn't satisfied.",None,None,None,None,None
36,"Only been here like two or three times but every time it was great!Food is sort of like tex-mex. I was worried about eating Mexican food the day before I had to travel somewhere (LOL) but the softshell steak tacos I had sat well and digested well. IMHO the digesting is just as important as the eating! :) But then again, this is coming from someone with a weak tolerance for spicy foods!The chips and guac are sooo tasty. I was impressed, as someone who spends quite a deal of time in Florida, and frequents many Mexican and Cuban restaurants, these chips were on par with what I'd get down south! Only thing I didn't like was the softshell taco shells. YUCK! They need to take a hint from West End Grill and Pub. Because those are some of the best softshells I've ever had! (At West End.)They always have quite a few drink specials, though I usually just order a beer. They have some nice beer selections too. IDK about wine.One night they had a special event--a Circus type thing or more like a Carnival with a real side show. I got to pet a baby alligator, hold an anaconda and see a guy breathe fire and walk on glass! It was pretty darned cool and they had other performances too as well as live music. It was really fun and worth the money I paid to get in for the event. They seem to put on really good events there!I was really confused at first, too, because I thought Atomic Cowboy was a gay bar--being in the Grove--and whatnot. It's not inherently a gay bar but I would say it's gay friendly just for being in the Grove.","special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances,  live music, really good events",None,"special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events","* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a special event for entertainment. Therefore, I think that ""special event"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a whole circus for entertainment. Therefore, I think that ""Circus"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a whole carnival for entertainment. Therefore, I think that ""Carnival"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a baby alligator to pet for entertainment. Therefore, I think that ""baby alligator"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have an anaconda to hold for entertainment. Therefore, I think that ""anaconda"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a fire show where a guy breathes fire for entertainment. Therefore, I think that ""fire"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a show where a guy walks on glass for entertainment. Therefore, I think that ""glass"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have other performances for entertainment. Therefore, I think that ""other performances"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have live music for entertainment. Therefore, I think that ""live music"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have diverse good events for entertainment. Therefore, I think that ""really good events"" is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a special event for entertainment. Therefore, I think that ""special event"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a whole circus for entertainment. Therefore, I think that ""Circus"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide a whole carnival for entertainment. Therefore, I think that ""Carnival"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a baby alligator to pet for entertainment. Therefore, I think that ""baby alligator"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have an anaconda to hold for entertainment. Therefore, I think that ""anaconda"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a fire show where a guy breathes fire for entertainment. Therefore, I think that ""fire"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a show where a guy walks on glass for entertainment. Therefore, I think that ""glass"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have other performances for entertainment. Therefore, I think that ""other performances"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have live music for entertainment. Therefore, I think that ""live music"" is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food, drinks, and ambience-related entertainment such as recorded music. However, restaurants do not typically have diverse good events for entertainment. Therefore, I think that ""really good events"" is an atypical aspect of this restaurant."
37,"This surprise of a find up against Saguaro East has great everything. The view from the front patio is spectacular, and the view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike. The pork ribs are some of the best you'll ever have, straight from a local organic pork producer. Nothing on the menu is bad.","beautiful garden, hummingbirds, songbirds",None,"beautiful garden, hummingbirds, songbirds","* Restaurants typically focus on providing food such as pork ribs straight from a local organic pork producer, beverages, service, and ambience such as a front patio. However, restaurants do not typically have a spectacular view of a beautiful garden. Therefore, I think that the restaurant having a view of a beautiful garden is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as pork ribs straight from a local organic pork producer, beverages, service, and ambience such as a front patio. However, restaurants do not typically have a spectacular view of hummingbirds. Therefore, I think that the restaurant having a view of hummingbirds is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as pork ribs straight from a local organic pork producer, beverages, service, and ambience such as a front patio. However, restaurants do not typically have a spectacular view of songbirds. Therefore, I think that the restaurant having a view of songbirds is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food such as pork ribs straight from a local organic pork producer, beverages, service, and ambience such as a front patio. However, restaurants do not typically have a spectacular view of a beautiful garden. Therefore, I think that the restaurant having a view of a beautiful garden is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as pork ribs straight from a local organic pork producer, beverages, service, and ambience such as a front patio. However, restaurants do not typically have a spectacular view of hummingbirds. Therefore, I think that the restaurant having a view of hummingbirds is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as pork ribs straight from a local organic pork producer, beverages, service, and ambience such as a front patio. However, restaurants do not typically have a spectacular view of songbirds. Therefore, I think that the restaurant having a view of songbirds is an atypical aspect of this restaurant."
38,"We celebrated New Years at the Hibachi Japanese Steak House and it was a blast! The started off with food that was incredible and then provided an awesome environment for New Years! They had two dance floors, a photo booth, and a great view of the Penns Landing fireworks! This New Years was a night to remember! I highly recommend this restaurant!","dance floors, photo booth, Penns Landing fireworks",None,"dance floors, photo booth, Penns Landing fireworks","* Restaurants typically focus on providing food such as Hibachi Japanese Steak, beverages, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide entertainment areas such as dance floors. Therefore, I think that providing dance floors is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as Hibachi Japanese Steak, beverages, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide entertainment areas such as photo booths. Therefore, I think that providing photo booths is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as Hibachi Japanese Steak, beverages, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a view of the Penns Landing fireworks on new year's night. Therefore, I think that the restaurant having a view of the Penns Landing fireworks is an atypical aspect of this restaurant.","* Restaurants typically focus on providing food such as Hibachi Japanese Steak, beverages, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide entertainment areas such as dance floors. Therefore, I think that providing dance floors is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as Hibachi Japanese Steak, beverages, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically provide entertainment areas such as photo booths. Therefore, I think that providing photo booths is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as Hibachi Japanese Steak, beverages, service, and ambience-related entertainment such as recorded music. However, restaurants do not typically have a view of the Penns Landing fireworks on new year's night. Therefore, I think that the restaurant having a view of the Penns Landing fireworks is an atypical aspect of this restaurant."
39,"This is such a cool place! Three words was all it took to add this gem to my list of places to visit while in St. Louis - ""Good Burger Car!!"" YES! They have the car from the movie Good Burger! A movie I was obsessed with as a child &, have since, gotten my kids to love just as much! The place is made out of cool, colorful shipping containers, with many neat decorations, what looks like an alien spaceship from Toy Story with a laser on it adorned the top of the place along with a cow. Now, on to the food. They have many different options to choose from including create-your-own burgers & many of their own creations, sandwiches, salads, sides, kid's meals, & shakes & floats. I had a single burger and added fried egg, bacon, & pepper jack. It was an amazing burger! There were some things that took a star away from what could have been a 5-star rating however. Number one, parking! This could just be a common thing in St. Louis, but parking was VERY limited. Their tiny parking lot was full, no street parking anywhere near by, & there is a parking lot behind the place that was only for residential parking, sign specifically stating not for restaurant parking or cars would be towed at owner's expense. Wasn't the best idea, but we took the chance anyway as we couldn't find any parking anywhere else, & luckily, our vehicle was not towed! I definitely do not suggest this for anyone though. Another draw back, the place is not specifically a ""drive-in"", in the common meaning of a drive-in, it did have indoor seating, however it was HOT as could be inside the building, very crowded, & extremely NOISY! Could barely even hear the cashier taking our order at the counter. There is outdoors seating, which is where we chose to eat our meal, even though it was a pretty warm day. Still felt better outside than in. The burgers we ordered were absolutely delicious, however the fries we chose to go with were not good at all. Cold & tasted overcooked. They did have a tasty seasoning on them though, & probably would have been great had they been a bit more fresh. Was definitely worth the stop however, even if just to get some photos of the Good Burger car with my children. They were so excited about this! Honestly not sure who was more excited, my sons or their father! Such a unique place & worth a visit! They also sell souvenir T-shirts & hats, & my fianc had to get himself a ""HI AF"" shirt. The shirts were heavily influenced by the movie Good Burger & there was one in particular I had my heart set on, unfortunately they did not have it in my size. Would visit here if ever in the area again, just for the sole purpose of seeing if they have the shirt I desired in my size! & to have another one of their delicious burgers, of course!","Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt",None,"Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt",None,None
40,"OOPS! I wore sandals to dinner (Florida guy)......ummm don't do that! With a strictly enforced footwear policy at Kayne (males only, the female in our group wearing open shoes was allowed entry) I was forced to leave our group of six at the restaurant to walk the neighborhood in search of proper shoes so I could rejoin our party. Unfortunately the only place open for business was a custom boot store....so it was a very expensive shoe mishap and dinner.The food was good.Service was goodManagement....inflexible.",None,None,None,"* Restaurants typically focus on providing food such as dinner, beverages, good service and management including policies such as a strictly enforced footwear policy against sandals. Restaurants also focus on providing ambience.","* Restaurants typically focus on providing food such as dinner, beverages, good service and management including policies such as a strictly enforced footwear policy against sandals. Restaurants also focus on providing ambience."
